Species	Extant	SampT	MinT	MaxT
t1	FALSE	49.21898592999427	47.8	56
t1	FALSE	49.1489074382069	47.8	56
t1	FALSE	48.95058170531898	47.8	56
t1	FALSE	46.878984683833515	41.2	47.8
t1	FALSE	45.89981703737334	41.2	47.8
t1	FALSE	42.01184765010305	41.2	47.8
t1	FALSE	41.89404357659842	41.2	47.8
t1	FALSE	40.94664755328759	37.8	41.2
t1	FALSE	40.87763638310629	37.8	41.2
t1	FALSE	40.038449080420676	37.8	41.2
t1	FALSE	39.84912349344458	37.8	41.2
t1	FALSE	37.28937478189703	33.9	37.8
t1	FALSE	36.85339915644618	33.9	37.8
t1	FALSE	36.695369138353655	33.9	37.8
t1	FALSE	36.647371348141725	33.9	37.8
t1	FALSE	34.78850982547544	33.9	37.8
t1	FALSE	34.66933969532337	33.9	37.8
t1	FALSE	34.6095094226495	33.9	37.8
t1	FALSE	34.24308549816058	33.9	37.8
t1	FALSE	31.081116804334137	27.82	33.9
t1	FALSE	30.60903783977197	27.82	33.9
t1	FALSE	29.252021675581545	27.82	33.9
t1	FALSE	28.77655529335154	27.82	33.9
t1	FALSE	28.318240753015324	27.82	33.9
t1	FALSE	28.124866618205097	27.82	33.9
t1	FALSE	27.311328342993992	23.03	27.82
t1	FALSE	27.15422623845546	23.03	27.82
t1	FALSE	26.75312052395702	23.03	27.82
t1	FALSE	25.393189437996984	23.03	27.82
t1	FALSE	23.31633514773339	23.03	27.82
t1	FALSE	21.400641579168845	20.44	23.03
t1	FALSE	21.229203060045045	20.44	23.03
t2	FALSE	41.62205391097245	41.2	47.8
t2	FALSE	41.250062592593046	41.2	47.8
t2	FALSE	40.25400039472077	37.8	41.2
t2	FALSE	39.985605302849606	37.8	41.2
t2	FALSE	38.98183437202607	37.8	41.2
t2	FALSE	38.90120714722895	37.8	41.2
t3	FALSE	37.676864192154746	33.9	37.8
t3	FALSE	37.55080671343799	33.9	37.8
t3	FALSE	36.564579665104944	33.9	37.8
t3	FALSE	36.50865765310688	33.9	37.8
t3	FALSE	36.19224125164366	33.9	37.8
t3	FALSE	35.94889099944105	33.9	37.8
