Species	Extant	SampT	MinT	MaxT
t1	FALSE	47.96765159960436	47.8	56
t2	FALSE	49.17731796487622	47.8	56
t2	FALSE	46.65529949509015	41.2	47.8
t3	FALSE	45.709242793872754	41.2	47.8
t3	FALSE	44.68200760907659	41.2	47.8
t4	FALSE	45.86650239185341	41.2	47.8
t4	FALSE	43.60085344577139	41.2	47.8
t5	FALSE	45.153005918406976	41.2	47.8
t5	FALSE	44.30122912672404	41.2	47.8
t5	FALSE	36.357032861953286	33.9	37.8
t5	FALSE	35.00110787565043	33.9	37.8
t6	FALSE	46.175431627831976	41.2	47.8
t6	FALSE	45.79963948862217	41.2	47.8
t7	FALSE	45.074334614888535	41.2	47.8
t7	FALSE	44.48338354563038	41.2	47.8
t7	FALSE	42.83305974497178	41.2	47.8
t7	FALSE	42.219950195812515	41.2	47.8
t7	FALSE	40.908830050789646	37.8	41.2
t8	FALSE	45.01139954815404	41.2	47.8
t8	FALSE	42.61205825183346	41.2	47.8
t8	FALSE	41.79785576063945	41.2	47.8
t8	FALSE	38.783217787647935	37.8	41.2
t8	FALSE	37.07046446389384	33.9	37.8
t8	FALSE	34.7958481986767	33.9	37.8
t8	FALSE	34.037498743714984	33.9	37.8
t8	FALSE	32.05409779223666	27.82	33.9
t8	FALSE	26.791075433028126	23.03	27.82
t8	FALSE	26.566409272496784	23.03	27.82
t8	FALSE	24.373824761688173	23.03	27.82
t8	FALSE	22.518841481384793	20.44	23.03
t8	FALSE	21.36851577143089	20.44	23.03
t8	FALSE	19.686340686685448	15.97	20.44
t8	FALSE	19.369873564510648	15.97	20.44
t8	FALSE	18.732468797645573	15.97	20.44
t8	FALSE	12.593688099801447	11.63	13.82
t8	FALSE	11.231846726655867	7.25	11.63
t9	FALSE	36.75735553101181	33.9	37.8
t9	FALSE	35.47844927877664	33.9	37.8
t9	FALSE	35.39289498332964	33.9	37.8
t9	FALSE	34.54329971972929	33.9	37.8
t9	FALSE	34.37481861472206	33.9	37.8
t9	FALSE	34.080097500138876	33.9	37.8
t10	FALSE	44.95885878123969	41.2	47.8
t10	FALSE	44.251542407764795	41.2	47.8
t10	FALSE	44.188576810738745	41.2	47.8
t10	FALSE	43.64281801943788	41.2	47.8
t10	FALSE	43.25951203808494	41.2	47.8
t10	FALSE	41.19468707701969	37.8	41.2
t10	FALSE	40.92799214477497	37.8	41.2
t10	FALSE	40.91117395943808	37.8	41.2
t10	FALSE	32.58522234161822	27.82	33.9
t10	FALSE	32.5482156998801	27.82	33.9
t10	FALSE	31.615506672798375	27.82	33.9
t11	FALSE	43.22024541521243	41.2	47.8
t11	FALSE	41.75311410608519	41.2	47.8
t11	FALSE	39.27500331032859	37.8	41.2
t11	FALSE	38.08137923948305	37.8	41.2
t11	FALSE	35.53163638257279	33.9	37.8
t11	FALSE	35.37345618021532	33.9	37.8
t11	FALSE	34.22203460627093	33.9	37.8
t11	FALSE	32.41980774441612	27.82	33.9
t11	FALSE	30.81229806813309	27.82	33.9
t12	FALSE	41.057413598518146	37.8	41.2
t12	FALSE	39.741792329582644	37.8	41.2
t12	FALSE	39.22941104821592	37.8	41.2
t12	FALSE	34.54660236242019	33.9	37.8
t12	FALSE	34.47908584366344	33.9	37.8
t12	FALSE	33.005891909704076	27.82	33.9
t12	FALSE	32.982459794496265	27.82	33.9
t12	FALSE	32.10001309472051	27.82	33.9
t12	FALSE	28.714118423806053	27.82	33.9
t12	FALSE	27.866654547797065	27.82	33.9
t12	FALSE	26.674687875369113	23.03	27.82
t12	FALSE	26.511167416326437	23.03	27.82
t12	FALSE	17.190245720108038	15.97	20.44
t14	FALSE	31.15786318164441	27.82	33.9
t15	FALSE	31.348320327758753	27.82	33.9
t15	FALSE	30.94444250041988	27.82	33.9
t16	FALSE	26.27193228507927	23.03	27.82
t17	FALSE	44.89580529323278	41.2	47.8
t18	FALSE	28.850081366243593	27.82	33.9
t18	FALSE	26.743493271719583	23.03	27.82
t18	FALSE	21.65081823056429	20.44	23.03
t20	FALSE	30.71739294123497	27.82	33.9
t21	FALSE	35.01457395533593	33.9	37.8
t21	FALSE	33.39354568284048	27.82	33.9
t21	FALSE	33.16263244556876	27.82	33.9
t21	FALSE	31.27733004543632	27.82	33.9
t21	FALSE	29.568492391585288	27.82	33.9
t22	FALSE	28.818128032307122	27.82	33.9
t22	FALSE	27.751170378806982	23.03	27.82
t22	FALSE	26.47666754263917	23.03	27.82
t23	FALSE	27.951504039589864	27.82	33.9
t23	FALSE	26.458046139313655	23.03	27.82
t23	FALSE	25.7372524236355	23.03	27.82
t23	FALSE	24.612022080554443	23.03	27.82
t23	FALSE	23.678291734403746	23.03	27.82
t23	FALSE	21.726104153499953	20.44	23.03
t23	FALSE	20.976171996624224	20.44	23.03
t25	FALSE	15.140577752720539	13.82	15.97
t25	FALSE	14.53842469921333	13.82	15.97
t27	FALSE	32.37549701012367	27.82	33.9
t27	FALSE	30.744540259844573	27.82	33.9
t27	FALSE	25.94548038106187	23.03	27.82
t27	FALSE	25.598435590420785	23.03	27.82
t27	FALSE	23.246819247021474	23.03	27.82
t27	FALSE	23.067690746940972	23.03	27.82
t28	FALSE	29.388631254602874	27.82	33.9
t28	FALSE	28.82296022510221	27.82	33.9
t28	FALSE	27.749581200238968	23.03	27.82
t28	FALSE	27.411836685781086	23.03	27.82
t29	FALSE	30.27250894550862	27.82	33.9
t29	FALSE	28.801963462042902	27.82	33.9
t29	FALSE	28.746991057262047	27.82	33.9
t29	FALSE	27.524094959102793	23.03	27.82
t29	FALSE	26.45067394462995	23.03	27.82
t29	FALSE	25.306562551610394	23.03	27.82
t29	FALSE	24.714971536588962	23.03	27.82
t29	FALSE	23.836040461254413	23.03	27.82
t29	FALSE	23.21117372978955	23.03	27.82
t29	FALSE	18.37212282985054	15.97	20.44
t29	FALSE	17.18350296753995	15.97	20.44
t30	FALSE	24.061748983630235	23.03	27.82
t30	FALSE	23.966272772523798	23.03	27.82
t30	FALSE	23.338416273008324	23.03	27.82
t30	FALSE	23.250944798114933	23.03	27.82
t30	FALSE	20.479754745346916	20.44	23.03
t30	FALSE	20.450821362630833	20.44	23.03
t31	FALSE	25.734265496141553	23.03	27.82
t31	FALSE	25.083833442540737	23.03	27.82
t32	FALSE	29.638872787209127	27.82	33.9
t32	FALSE	27.180732395436713	23.03	27.82
t32	FALSE	23.53880089377558	23.03	27.82
t32	FALSE	23.485087166033146	23.03	27.82
t32	FALSE	22.032490121708843	20.44	23.03
t32	FALSE	21.493014450972677	20.44	23.03
t32	FALSE	20.00652470619974	15.97	20.44
t33	FALSE	24.183385727126765	23.03	27.82
t33	FALSE	23.61101848552065	23.03	27.82
t33	FALSE	23.56656620940359	23.03	27.82
t33	FALSE	23.380256195647434	23.03	27.82
t33	FALSE	19.176861026877376	15.97	20.44
t34	FALSE	22.09396070286666	20.44	23.03
t34	FALSE	21.72372528675978	20.44	23.03
t34	FALSE	21.387959680967377	20.44	23.03
t35	FALSE	24.80189627013428	23.03	27.82
t35	FALSE	20.228260427735208	15.97	20.44
t36	FALSE	23.530746775687124	23.03	27.82
t36	FALSE	22.92468632655421	20.44	23.03
t36	FALSE	21.46370409277782	20.44	23.03
t36	FALSE	16.060567001482625	15.97	20.44
t36	FALSE	15.196471602429412	13.82	15.97
t36	FALSE	14.750419200482625	13.82	15.97
t36	FALSE	14.47588515662666	13.82	15.97
t36	FALSE	14.358064533865168	13.82	15.97
t36	FALSE	13.60449625523956	11.63	13.82
t37	FALSE	21.42223268798679	20.44	23.03
t37	FALSE	21.272149500784543	20.44	23.03
t38	FALSE	22.63328374397597	20.44	23.03
t39	FALSE	17.587499712766572	15.97	20.44
t40	FALSE	17.758699813362618	15.97	20.44
t41	FALSE	32.182797735544426	27.82	33.9
t41	FALSE	31.339699787075205	27.82	33.9
t42	FALSE	31.40459863541259	27.82	33.9
t42	FALSE	31.2163406067098	27.82	33.9
t42	FALSE	30.832133148474476	27.82	33.9
t43	FALSE	23.029210955832415	20.44	23.03
t43	FALSE	21.79169391560953	20.44	23.03
t43	FALSE	20.795775524337106	20.44	23.03
t44	FALSE	18.76293154639791	15.97	20.44
t44	FALSE	16.49510182828947	15.97	20.44
t45	FALSE	20.969903575079936	20.44	23.03
t46	FALSE	25.092391420420345	23.03	27.82
t47	FALSE	20.9016217100184	20.44	23.03
t48	FALSE	18.5093340210312	15.97	20.44
t48	FALSE	15.076929886776696	13.82	15.97
t50	FALSE	19.849915573799926	15.97	20.44
t50	FALSE	17.081024162981805	15.97	20.44
t51	FALSE	22.56321875645758	20.44	23.03
t52	FALSE	26.43418508250216	23.03	27.82
t52	FALSE	21.537042691102346	20.44	23.03
t52	FALSE	20.280138253895657	15.97	20.44
t53	FALSE	20.090920128181338	15.97	20.44
t54	FALSE	20.624054103837068	20.44	23.03
t54	FALSE	19.291326026179547	15.97	20.44
t54	FALSE	17.605385155248378	15.97	20.44
t55	FALSE	23.266148688512164	23.03	27.82
t56	FALSE	18.595227874014824	15.97	20.44
t56	FALSE	17.79453213598879	15.97	20.44
t57	FALSE	18.497155530118313	15.97	20.44
t57	FALSE	18.28217822752979	15.97	20.44
t57	FALSE	16.879314609635593	15.97	20.44
t58	FALSE	19.191549876564515	15.97	20.44
t58	FALSE	18.69291334365893	15.97	20.44
t58	FALSE	16.656642172098614	15.97	20.44
t58	FALSE	15.283608192190982	13.82	15.97
t58	FALSE	14.007562697478093	13.82	15.97
t58	FALSE	11.953036955532163	11.63	13.82
t58	FALSE	9.473994835338303	7.25	11.63
t59	FALSE	19.847617898970697	15.97	20.44
t60	FALSE	20.43749756068567	15.97	20.44
t60	FALSE	18.750679840237275	15.97	20.44
t60	FALSE	17.614920061916486	15.97	20.44
t64	FALSE	21.51972446745434	20.44	23.03
t64	FALSE	18.339264244163473	15.97	20.44
t64	FALSE	16.760839501802145	15.97	20.44
t64	FALSE	15.974662918072461	15.97	20.44
t65	FALSE	23.094740507723287	23.03	27.82
t65	FALSE	20.547260787021088	20.44	23.03
t65	FALSE	20.055036317240166	15.97	20.44
t65	FALSE	19.39461477069156	15.97	20.44
t66	FALSE	20.674931253776244	20.44	23.03
t66	FALSE	20.224105759993485	15.97	20.44
t66	FALSE	14.528888001912428	13.82	15.97
t66	FALSE	12.657132338690928	11.63	13.82
t69	FALSE	17.86328239798764	15.97	20.44
t69	FALSE	17.848413220029073	15.97	20.44
t70	FALSE	24.59858149803803	23.03	27.82
t70	FALSE	20.619219118446516	20.44	23.03
t70	FALSE	19.494880684368717	15.97	20.44
t71	FALSE	16.89115842231881	15.97	20.44
t74	FALSE	15.935227326314475	13.82	15.97
t74	FALSE	15.156012709449556	13.82	15.97
t75	FALSE	13.62444013839825	11.63	13.82
t76	FALSE	14.936171459355705	13.82	15.97
t78	TRUE	11.381007758693677	7.25	11.63
t78	TRUE	10.567094234542829	7.25	11.63
t78	TRUE	9.635488461496216	7.25	11.63
t78	TRUE	7.710111228626332	7.25	11.63
t78	TRUE	6.368519329343101	5.33	7.25
t78	TRUE	5.6050739175343125	5.33	7.25
t78	TRUE	5.32622790538322	3.6	5.33
t78	TRUE	2.7839788405747043	0	3.6
t78	TRUE	1.1266898907220977	0	3.6
t78	TRUE	0.5802435207611936	0	3.6
t79	FALSE	8.860159845498714	7.25	11.63
t79	FALSE	8.528925175578166	7.25	11.63
t79	FALSE	8.342948175890832	7.25	11.63
t80	FALSE	17.39000147779727	15.97	20.44
t81	FALSE	14.372198488690678	13.82	15.97
t81	FALSE	13.837910613032967	13.82	15.97
t82	FALSE	16.47981512517473	15.97	20.44
t82	FALSE	16.44685514894119	15.97	20.44
t84	FALSE	22.032548307523847	20.44	23.03
t84	FALSE	21.904207524466926	20.44	23.03
t84	FALSE	13.304661090672433	11.63	13.82
t84	FALSE	9.982465441693435	7.25	11.63
t84	FALSE	7.905884468435389	7.25	11.63
t84	FALSE	6.429521493079136	5.33	7.25
t84	FALSE	5.073872575933109	3.6	5.33
t84	FALSE	4.543365781898125	3.6	5.33
t85	FALSE	20.53372919725482	20.44	23.03
t85	FALSE	20.305682009350782	15.97	20.44
t85	FALSE	19.569304711450165	15.97	20.44
t85	FALSE	18.374255841862684	15.97	20.44
t86	FALSE	14.909029650132972	13.82	15.97
t86	FALSE	14.904672166165298	13.82	15.97
t86	FALSE	14.857578576039273	13.82	15.97
t86	FALSE	14.839859143327672	13.82	15.97
t86	FALSE	12.876128742983518	11.63	13.82
t86	FALSE	12.74643249488431	11.63	13.82
t86	FALSE	12.105685025034425	11.63	13.82
t86	FALSE	11.047041160566685	7.25	11.63
t88	FALSE	15.489447286872306	13.82	15.97
t89	FALSE	15.403226685001691	13.82	15.97
t89	FALSE	14.090248136072596	13.82	15.97
t89	FALSE	6.451219397308549	5.33	7.25
t89	FALSE	5.938139695385715	5.33	7.25
t89	FALSE	3.631034612451188	3.6	5.33
t91	FALSE	19.754359091876935	15.97	20.44
t91	FALSE	18.397944136767578	15.97	20.44
t92	FALSE	15.404866613288192	13.82	15.97
t92	FALSE	15.37723464875367	13.82	15.97
t93	FALSE	9.894068363022349	7.25	11.63
t93	FALSE	8.395364928029068	7.25	11.63
t95	FALSE	7.590511144839844	7.25	11.63
t95	FALSE	4.1303279393628	3.6	5.33
t96	TRUE	0.09249645536313977	0	3.6
t98	FALSE	8.12118582971862	7.25	11.63
t100	FALSE	12.175034900090346	11.63	13.82
t101	TRUE	1.5263835708552378	0	3.6
t101	TRUE	1.1719796606281179	0	3.6
t101	TRUE	1.111627842759468	0	3.6
t101	TRUE	0.15360357472089703	0	3.6
t102	TRUE	2.3852361675931633	0	3.6
t102	TRUE	1.2861911070181549	0	3.6
t103	FALSE	17.328859799297476	15.97	20.44
t104	FALSE	15.280392482116554	13.82	15.97
t104	FALSE	14.228748101912174	13.82	15.97
t104	FALSE	12.284775973643647	11.63	13.82
t105	FALSE	15.376927367479936	13.82	15.97
t106	FALSE	12.35196176924051	11.63	13.82
t109	FALSE	7.296606506362217	7.25	11.63
t110	FALSE	3.2722795719947797	0	3.6
t111	TRUE	2.912195477021484	0	3.6
t112	FALSE	5.1981388158895285	3.6	5.33
t112	FALSE	4.261596376615039	3.6	5.33
t112	FALSE	3.6683790587301104	3.6	5.33
t112	FALSE	3.374550584430544	0	3.6
t113	TRUE	2.229093424366212	0	3.6
t113	TRUE	1.2204814481971624	0	3.6
t113	TRUE	0.0515366954148746	0	3.6
t114	TRUE	0.5039196417028364	0	3.6
