Species	Extant	SampT	MinT	MaxT
t1	FALSE	51.026428345939145	47.8	56
t1	FALSE	50.438008757656434	47.8	56
t1	FALSE	49.16537930106185	47.8	56
t1	FALSE	48.96904555184207	47.8	56
t1	FALSE	46.079908231789645	41.2	47.8
t2	FALSE	49.500831209676704	47.8	56
t2	FALSE	47.27818106923681	41.2	47.8
t2	FALSE	45.1540172366836	41.2	47.8
t2	FALSE	43.9977363652029	41.2	47.8
t2	FALSE	42.91866395961874	41.2	47.8
t2	FALSE	42.911220189783805	41.2	47.8
t2	FALSE	41.67579894693263	41.2	47.8
t3	FALSE	44.758647561195865	41.2	47.8
t3	FALSE	43.69148658600785	41.2	47.8
t3	FALSE	42.13624067764299	41.2	47.8
t4	FALSE	47.22709307872427	41.2	47.8
t4	FALSE	46.522276740918045	41.2	47.8
t4	FALSE	40.842864793526914	37.8	41.2
t4	FALSE	39.21283948689437	37.8	41.2
t4	FALSE	38.901365977717745	37.8	41.2
t5	FALSE	45.58740502622776	41.2	47.8
t5	FALSE	44.182169642652184	41.2	47.8
t5	FALSE	41.070596576257806	37.8	41.2
t7	FALSE	41.78635157961878	41.2	47.8
t7	FALSE	40.64800399020794	37.8	41.2
t7	FALSE	39.53544087000671	37.8	41.2
t7	FALSE	38.50559157822761	37.8	41.2
t7	FALSE	34.79314812234191	33.9	37.8
t7	FALSE	34.49079462195335	33.9	37.8
t7	FALSE	31.946810549754456	27.82	33.9
t8	FALSE	38.9045174605885	37.8	41.2
t8	FALSE	38.1438856599593	37.8	41.2
t8	FALSE	37.57457620097927	33.9	37.8
t8	FALSE	37.13622409053672	33.9	37.8
t9	FALSE	42.93837681770134	41.2	47.8
t9	FALSE	42.7737818939144	41.2	47.8
t9	FALSE	41.486765173403384	41.2	47.8
t9	FALSE	39.831592719294164	37.8	41.2
t9	FALSE	39.82730054077817	37.8	41.2
t10	FALSE	43.818635338662254	41.2	47.8
t12	FALSE	41.893103506139695	41.2	47.8
t15	FALSE	37.65476478995191	33.9	37.8
t16	FALSE	29.566037279315974	27.82	33.9
t16	FALSE	29.321280515081046	27.82	33.9
t16	FALSE	28.308200354016183	27.82	33.9
t16	FALSE	28.223417755475996	27.82	33.9
t16	FALSE	27.494306896141527	23.03	27.82
t18	FALSE	33.080747187900414	27.82	33.9
t18	FALSE	32.91171350965189	27.82	33.9
t19	FALSE	32.06015506862548	27.82	33.9
t20	FALSE	38.4321887999686	37.8	41.2
t21	FALSE	38.20388965188015	37.8	41.2
t21	FALSE	35.43818209580586	33.9	37.8
t21	FALSE	34.29531630482033	33.9	37.8
t22	FALSE	38.36874556776962	37.8	41.2
t22	FALSE	35.58400866780707	33.9	37.8
t22	FALSE	34.885292692298975	33.9	37.8
t22	FALSE	34.02601728979775	33.9	37.8
t22	FALSE	33.45729731414744	27.82	33.9
t22	FALSE	30.932604484533137	27.82	33.9
t22	FALSE	30.752632610772913	27.82	33.9
t22	FALSE	22.72046680445248	20.44	23.03
t23	FALSE	34.02797680812331	33.9	37.8
t23	FALSE	33.91040440107851	33.9	37.8
t23	FALSE	33.44596055167882	27.82	33.9
t23	FALSE	30.46571566628681	27.82	33.9
t23	FALSE	29.539875362984997	27.82	33.9
t23	FALSE	27.836290969436142	27.82	33.9
t23	FALSE	26.844350614507768	23.03	27.82
t24	FALSE	32.14214602588669	27.82	33.9
t24	FALSE	30.389583005466708	27.82	33.9
t24	FALSE	30.11732099562743	27.82	33.9
t24	FALSE	29.211373464053956	27.82	33.9
t24	FALSE	29.026521370275244	27.82	33.9
t24	FALSE	28.22594654934684	27.82	33.9
t24	FALSE	27.28873790616373	23.03	27.82
t24	FALSE	26.108623105121946	23.03	27.82
t24	FALSE	24.45055260799117	23.03	27.82
t24	FALSE	23.245427854463827	23.03	27.82
t24	FALSE	22.82826647452302	20.44	23.03
t24	FALSE	22.604164787878133	20.44	23.03
t24	FALSE	20.93245017288537	20.44	23.03
t24	FALSE	20.93057587316544	20.44	23.03
t24	FALSE	20.493984818852553	20.44	23.03
t25	FALSE	31.106172709722845	27.82	33.9
t26	FALSE	34.98013458531179	33.9	37.8
t27	FALSE	35.74373032809169	33.9	37.8
t27	FALSE	34.60491343219698	33.9	37.8
t27	FALSE	33.201894233772336	27.82	33.9
t27	FALSE	32.96199934997837	27.82	33.9
t27	FALSE	32.400202046830756	27.82	33.9
