Species	Extant	SampT	MinT	MaxT
t1	FALSE	46.99362327990094	41.2	47.8
t1	FALSE	46.934045725761656	41.2	47.8
t1	FALSE	46.24827231399596	41.2	47.8
t1	FALSE	45.74670120727152	41.2	47.8
t1	FALSE	43.15406505425362	41.2	47.8
t1	FALSE	42.831402045135974	41.2	47.8
t1	FALSE	42.77796574883279	41.2	47.8
t1	FALSE	42.354418228418865	41.2	47.8
t1	FALSE	39.54134781940553	37.8	41.2
t1	FALSE	39.323125582213436	37.8	41.2
t1	FALSE	34.50843905853819	33.9	37.8
t1	FALSE	34.42560310019891	33.9	37.8
t1	FALSE	33.855993154558945	27.82	33.9
t1	FALSE	33.29187157199587	27.82	33.9
t1	FALSE	32.385418323882476	27.82	33.9
t1	FALSE	31.731193487858096	27.82	33.9
t1	FALSE	31.731148632568935	27.82	33.9
t1	FALSE	30.184474676147154	27.82	33.9
t3	FALSE	45.91424764653075	41.2	47.8
t3	FALSE	45.843383246635675	41.2	47.8
t3	FALSE	45.37021265418607	41.2	47.8
t3	FALSE	44.79779544333399	41.2	47.8
t4	FALSE	38.46414295301862	37.8	41.2
t4	FALSE	33.430535628523614	27.82	33.9
t5	FALSE	35.41176848266508	33.9	37.8
t5	FALSE	30.287661833607743	27.82	33.9
t5	FALSE	28.230071889239714	27.82	33.9
t5	FALSE	24.404801001943465	23.03	27.82
t6	FALSE	36.158389799295364	33.9	37.8
t6	FALSE	32.905588109212765	27.82	33.9
t6	FALSE	32.395903309973725	27.82	33.9
t6	FALSE	32.159672618251484	27.82	33.9
t6	FALSE	31.08036818830588	27.82	33.9
t6	FALSE	29.309563470600256	27.82	33.9
t6	FALSE	27.902428636007294	27.82	33.9
t6	FALSE	26.859822114609464	23.03	27.82
t6	FALSE	26.122133908473238	23.03	27.82
t6	FALSE	24.597682561568575	23.03	27.82
t6	FALSE	23.88577268536355	23.03	27.82
t6	FALSE	23.686514750897544	23.03	27.82
t7	FALSE	33.507551849803626	27.82	33.9
t9	FALSE	28.46969696686616	27.82	33.9
t9	FALSE	23.558761613630484	23.03	27.82
t9	FALSE	22.899448488234604	20.44	23.03
t9	FALSE	22.800442263810957	20.44	23.03
t9	FALSE	22.523256314314033	20.44	23.03
t10	FALSE	26.361832471618403	23.03	27.82
t10	FALSE	23.532676836697757	23.03	27.82
t10	FALSE	22.023909707237106	20.44	23.03
t10	FALSE	19.115063589849047	15.97	20.44
t11	FALSE	24.78131710585862	23.03	27.82
t11	FALSE	23.97269304317146	23.03	27.82
t11	FALSE	21.594414506533415	20.44	23.03
t11	FALSE	21.573308576324255	20.44	23.03
t11	FALSE	18.079032946971875	15.97	20.44
t11	FALSE	16.776624281553254	15.97	20.44
t12	FALSE	25.71963043189093	23.03	27.82
t13	FALSE	23.901286070860962	23.03	27.82
t13	FALSE	23.682099776037077	23.03	27.82
t13	FALSE	22.84165856397901	20.44	23.03
t13	FALSE	22.019054193675558	20.44	23.03
t13	FALSE	21.521291038647334	20.44	23.03
