Species	Extant	SampT	MinT	MaxT
t1	FALSE	46.18608813046293	41.2	47.8
t1	FALSE	44.08724348153956	41.2	47.8
t1	FALSE	43.463602634960615	41.2	47.8
t1	FALSE	43.32018031949757	41.2	47.8
t1	FALSE	39.06836505421772	37.8	41.2
t1	FALSE	38.891367534895515	37.8	41.2
t1	FALSE	38.24135938950584	37.8	41.2
t1	FALSE	37.951396831258	37.8	41.2
t1	FALSE	37.8698643519332	37.8	41.2
t1	FALSE	37.74719863802913	33.9	37.8
t2	FALSE	43.936026359095614	41.2	47.8
t2	FALSE	42.513452218459534	41.2	47.8
t2	FALSE	42.43118915413502	41.2	47.8
t2	FALSE	42.33171294244249	41.2	47.8
t2	FALSE	41.64512386629412	41.2	47.8
t2	FALSE	39.38452353353327	37.8	41.2
t4	FALSE	35.85921680623215	33.9	37.8
t4	FALSE	35.595237355232214	33.9	37.8
t4	FALSE	31.072438489799822	27.82	33.9
t4	FALSE	30.728632051156666	27.82	33.9
t4	FALSE	27.00234507270811	23.03	27.82
t4	FALSE	26.85615258363411	23.03	27.82
t4	FALSE	24.942143613434773	23.03	27.82
t4	FALSE	20.937262639793886	20.44	23.03
t4	FALSE	19.121826107396842	15.97	20.44
t4	FALSE	18.666708572880864	15.97	20.44
t4	FALSE	17.07044724307945	15.97	20.44
t5	FALSE	30.788363236434016	27.82	33.9
t5	FALSE	30.2932510241771	27.82	33.9
t5	FALSE	29.117328850080245	27.82	33.9
t5	FALSE	28.901147654998944	27.82	33.9
t5	FALSE	26.1677624954419	23.03	27.82
t5	FALSE	25.84020712762448	23.03	27.82
t5	FALSE	24.44719639160001	23.03	27.82
t6	FALSE	41.15310439277446	37.8	41.2
t6	FALSE	40.96201636222727	37.8	41.2
t6	FALSE	40.71142359160646	37.8	41.2
t6	FALSE	37.96982067684135	37.8	41.2
t7	FALSE	32.755681050859565	27.82	33.9
t7	FALSE	32.692377578658615	27.82	33.9
t7	FALSE	32.17573520281236	27.82	33.9
t8	FALSE	31.9296631040833	27.82	33.9
t8	FALSE	31.68985786139525	27.82	33.9
t8	FALSE	30.947749102243268	27.82	33.9
t8	FALSE	26.93549649515566	23.03	27.82
t8	FALSE	26.77754467986606	23.03	27.82
t8	FALSE	25.34591331702834	23.03	27.82
t8	FALSE	24.613008283665522	23.03	27.82
t8	FALSE	23.766369941795034	23.03	27.82
t8	FALSE	23.716123312824436	23.03	27.82
t8	FALSE	22.855042373544165	20.44	23.03
t9	FALSE	28.80794093966303	27.82	33.9
t9	FALSE	28.17922129754126	27.82	33.9
t9	FALSE	26.97542576332585	23.03	27.82
t9	FALSE	26.84266467083204	23.03	27.82
t10	FALSE	33.378321326574934	27.82	33.9
