Species	Extant	SampT	MinT	MaxT
t1	FALSE	48.49368301678344	47.8	56
t1	FALSE	47.840192902085704	47.8	56
t1	FALSE	47.01358268695956	41.2	47.8
t1	FALSE	46.91614388427628	41.2	47.8
t1	FALSE	46.79760566614782	41.2	47.8
t2	FALSE	44.39808524778852	41.2	47.8
t2	FALSE	42.84947409204806	41.2	47.8
t3	FALSE	42.97178649638554	41.2	47.8
t3	FALSE	42.684695068550596	41.2	47.8
t3	FALSE	41.72910466327918	41.2	47.8
t3	FALSE	40.231838465778814	37.8	41.2
t3	FALSE	38.92920701574677	37.8	41.2
t3	FALSE	38.44415420134612	37.8	41.2
t4	FALSE	41.41374872584723	41.2	47.8
t4	FALSE	41.31747337043088	41.2	47.8
t5	FALSE	40.79727619482695	37.8	41.2
t5	FALSE	39.1899564456957	37.8	41.2
t5	FALSE	38.515989942783456	37.8	41.2
t5	FALSE	37.955359726744206	37.8	41.2
t5	FALSE	37.329096071257844	33.9	37.8
t5	FALSE	37.17260549460393	33.9	37.8
t6	FALSE	33.861034742395766	27.82	33.9
t7	FALSE	37.71757334595455	33.9	37.8
t7	FALSE	37.34596118797552	33.9	37.8
t7	FALSE	36.92886396742453	33.9	37.8
t7	FALSE	35.32012329001008	33.9	37.8
t7	FALSE	34.805185250433695	33.9	37.8
t7	FALSE	33.82217237143173	27.82	33.9
t7	FALSE	33.441275249692005	27.82	33.9
t7	FALSE	33.3708832994827	27.82	33.9
t7	FALSE	33.35915299016334	27.82	33.9
t7	FALSE	32.57600824754604	27.82	33.9
t7	FALSE	31.66034038849272	27.82	33.9
t7	FALSE	30.6336102928177	27.82	33.9
t7	FALSE	30.157640641571664	27.82	33.9
t7	FALSE	29.37068297635478	27.82	33.9
t7	FALSE	26.48244256963395	23.03	27.82
t7	FALSE	24.795719158462436	23.03	27.82
t7	FALSE	22.650336305362366	20.44	23.03
t7	FALSE	21.912278481706835	20.44	23.03
t7	FALSE	19.643423242173444	15.97	20.44
t7	FALSE	18.822882720337276	15.97	20.44
t7	FALSE	16.339262317792887	15.97	20.44
t9	FALSE	37.53409897870503	33.9	37.8
t9	FALSE	36.87668948195817	33.9	37.8
t9	FALSE	36.76741439987906	33.9	37.8
t9	FALSE	36.55994523939108	33.9	37.8
t9	FALSE	36.333198479328175	33.9	37.8
t9	FALSE	35.18360515791666	33.9	37.8
t9	FALSE	34.48728668863522	33.9	37.8
t9	FALSE	33.793639939200816	27.82	33.9
t9	FALSE	31.69588666426281	27.82	33.9
t9	FALSE	29.483618144297864	27.82	33.9
t9	FALSE	28.63854173353782	27.82	33.9
t9	FALSE	28.28115373821402	27.82	33.9
t9	FALSE	25.12257808157037	23.03	27.82
t9	FALSE	22.82400806813868	20.44	23.03
t9	FALSE	22.466838846462526	20.44	23.03
t9	FALSE	21.636472475946793	20.44	23.03
t9	FALSE	21.474928294465332	20.44	23.03
t9	FALSE	19.97875735771134	15.97	20.44
t9	FALSE	19.79256230766342	15.97	20.44
t9	FALSE	19.712338207765395	15.97	20.44
t9	FALSE	19.407360494977045	15.97	20.44
t9	FALSE	19.04422177397199	15.97	20.44
t9	FALSE	18.92930796576653	15.97	20.44
t10	FALSE	35.177286303896594	33.9	37.8
t10	FALSE	31.962164246173376	27.82	33.9
t10	FALSE	30.64536154272223	27.82	33.9
t10	FALSE	30.13052454373575	27.82	33.9
t10	FALSE	29.911872785841876	27.82	33.9
t10	FALSE	27.019820575888488	23.03	27.82
t11	FALSE	33.98046602680864	33.9	37.8
t12	FALSE	31.84818511946226	27.82	33.9
t12	FALSE	28.66858971473957	27.82	33.9
t12	FALSE	27.4796593396449	23.03	27.82
t13	FALSE	25.467969431002185	23.03	27.82
t13	FALSE	25.047967023949713	23.03	27.82
t13	FALSE	24.09454048068896	23.03	27.82
t14	FALSE	13.261248948284411	11.63	13.82
t14	FALSE	11.888258041391701	11.63	13.82
t14	FALSE	11.414673534690955	7.25	11.63
t14	FALSE	11.413716613927754	7.25	11.63
t15	FALSE	36.77004825289239	33.9	37.8
t16	FALSE	34.670186706123545	33.9	37.8
t17	FALSE	34.979206367341106	33.9	37.8
t17	FALSE	29.816699272409657	27.82	33.9
t17	FALSE	28.27441143503181	27.82	33.9
t17	FALSE	27.750990285566708	23.03	27.82
t17	FALSE	27.70070644443812	23.03	27.82
t18	FALSE	30.06693144021486	27.82	33.9
t19	FALSE	30.459807754052232	27.82	33.9
t19	FALSE	29.508575299471996	27.82	33.9
t19	FALSE	26.764567151906533	23.03	27.82
t19	FALSE	26.56120499629147	23.03	27.82
t19	FALSE	25.471600433135194	23.03	27.82
t19	FALSE	25.19110789760264	23.03	27.82
t19	FALSE	19.00881352997116	15.97	20.44
t19	FALSE	18.133382165333206	15.97	20.44
t19	FALSE	17.941403748868645	15.97	20.44
t20	FALSE	25.259852299344058	23.03	27.82
t20	FALSE	23.913826244919843	23.03	27.82
t20	FALSE	23.48478983088131	23.03	27.82
t21	FALSE	25.08348659874616	23.03	27.82
t21	FALSE	23.30260111963995	23.03	27.82
t21	FALSE	21.272836219927342	20.44	23.03
t21	FALSE	20.69593456824668	20.44	23.03
t21	FALSE	20.207063970837574	15.97	20.44
t21	FALSE	19.57242385982729	15.97	20.44
t22	FALSE	22.532497983937375	20.44	23.03
t24	FALSE	32.31690160596371	27.82	33.9
t24	FALSE	31.403269020217653	27.82	33.9
t24	FALSE	30.208526403580418	27.82	33.9
t24	FALSE	29.99550281014335	27.82	33.9
t25	FALSE	30.47968008447218	27.82	33.9
t26	FALSE	24.428926660833056	23.03	27.82
t26	FALSE	22.938501064188813	20.44	23.03
t26	FALSE	22.448252043909523	20.44	23.03
t26	FALSE	22.172993421836225	20.44	23.03
t26	FALSE	21.923226696723138	20.44	23.03
t26	FALSE	21.497480078294952	20.44	23.03
t26	FALSE	21.476910455243928	20.44	23.03
t26	FALSE	20.543522428842323	20.44	23.03
t26	FALSE	20.357209304861144	15.97	20.44
t26	FALSE	20.269457164698654	15.97	20.44
t26	FALSE	19.507682155388146	15.97	20.44
t26	FALSE	17.943329797280427	15.97	20.44
t26	FALSE	17.280566519032803	15.97	20.44
t26	FALSE	15.678647185317182	13.82	15.97
t26	FALSE	13.670666003147083	11.63	13.82
t26	FALSE	13.322301924106078	11.63	13.82
t26	FALSE	10.590491513574307	7.25	11.63
t28	FALSE	31.18166631976547	27.82	33.9
t28	FALSE	29.45518206001594	27.82	33.9
t28	FALSE	28.967508938311042	27.82	33.9
t28	FALSE	28.912634886815123	27.82	33.9
t29	FALSE	28.12613965354422	27.82	33.9
t29	FALSE	24.05381542759946	23.03	27.82
t29	FALSE	22.63086065490034	20.44	23.03
t29	FALSE	22.196941780019	20.44	23.03
t29	FALSE	16.468415475355172	15.97	20.44
t29	FALSE	15.74533139946007	13.82	15.97
t29	FALSE	13.912377031644624	13.82	15.97
t30	FALSE	27.27554900015027	23.03	27.82
t30	FALSE	25.997454846257867	23.03	27.82
t30	FALSE	25.054737538204925	23.03	27.82
t30	FALSE	24.533763773019754	23.03	27.82
t30	FALSE	23.583014475623447	23.03	27.82
t30	FALSE	22.409218878685465	20.44	23.03
t30	FALSE	20.11692000426875	15.97	20.44
t30	FALSE	18.250941092856053	15.97	20.44
t30	FALSE	17.522087780122433	15.97	20.44
t30	FALSE	17.350151215621295	15.97	20.44
t31	FALSE	25.697690148792823	23.03	27.82
t33	FALSE	30.343529792514396	27.82	33.9
t33	FALSE	28.18112728744779	27.82	33.9
t33	FALSE	27.397732261167825	23.03	27.82
t33	FALSE	26.81168691990813	23.03	27.82
t33	FALSE	23.568747334412862	23.03	27.82
t33	FALSE	23.473124693272336	23.03	27.82
t34	FALSE	21.992536114350816	20.44	23.03
