,RBL,RLGA,RUGA,M1BS,M2S,IxP4,IxM2,MAT,MAM,C1,c1,P4P,UM21,p4S,P3S,mass
Cormocyon_copei,0.614145031,0.940906487,1.172230495,0.090909091,0.443476726,0.62789739,0.689779569,0.232308508,0.155049033,0.644,0.761702128,0.734375,0.740423507,0.509202454,0.505084746,1.582927722
Cormocyon_haydeni,0.674973977,0.866141002,1.156399416,0.10275579,0.473562804,0.50844157,0.592971598,0.193784814,0.086338317,0.649238286,0.680432471,0.689441458,0.695031008,0.410180661,0.436482497,1.408664869
Cynarctoides_accridens,0.611159072,1.055583787,1.16561219,0.092715901,0.533066765,0.536279036,0.621155983,NA,0.114183916,0.636135549,0.742244257,0.632211335,0.775265148,0.442086697,0.458815887,1.175464528
Cynarctoides_gawanae,0.671391652,0.897295143,1.115628419,0.100201207,0.494271574,0.410574913,0.506343274,0.151509054,NA,NA,0.756183746,0.665648855,0.652865366,0.366229624,0.335511983,0.895861739
Cynarctoides_lemur,0.622530547,0.986086016,1.061957099,NA,0.486016882,0.532144468,0.602073647,NA,NA,NA,0.944029851,0.689349112,0.78475472,0.4,0.454022989,0.815000076
Cynarctoides_luskensis,0.647189247,1.042291954,1.202753443,0.087491091,0.560993064,0.503864385,0.581151621,0.15805417,0.110833927,NA,0.658862876,0.726289948,0.754441977,0.462345322,0.409368635,0.864029227
Cynarctus_crucidens,0.519811035,1.732146368,1.385255658,0.057473305,0.737923394,0.906870607,0.941023996,0.217398707,0.13968127,0.741230368,0.78851449,0.739035886,0.98913961,0.482522399,0.456822575,1.612665372
Cynarctus_galushai,0.656941073,0.921760429,1.143006562,0.097533757,0.476109835,0.595519212,0.643129541,0.196900525,0.143528817,0.671764706,0.772700673,0.619182013,0.782973841,0.540386451,0.433063157,2.183612128
Cynarctus_saxatilis,0.56043956,1.291786061,1.289263416,0.070414973,0.604931559,0.770266829,0.904514659,0.23333589,0.135000384,0.672131148,0.812572759,0.64917776,0.981607163,0.523391813,0.541507024,2.279677349
Cynarctus_voorhiesi,0.609195402,1.319664518,NA,NA,0.697138963,0.720163015,0.824358938,0.193295603,0.126512843,NA,0.698039216,NA,NA,0.510218009,NA,1.983500698
Cynodesmus_thooides,0.698453577,0.733190197,0.976042502,0.107914245,0.400028665,0.628745307,0.678603345,0.216936118,0.135313146,0.778612193,0.823268096,0.688813802,0.598483075,0.534354818,0.53556545,2.175197347
Desmocyon_matthewi,0.66258194,0.851834424,1.090378938,0.103125313,0.437429439,0.646875093,0.694392638,0.223401902,0.146882014,0.713965113,0.765436126,0.668333905,0.642769912,0.507908786,0.534279308,2.09906635
Desmocyon_thomsoni,0.680352121,0.895802207,1.141827397,0.098004696,0.490220205,0.635216422,0.70460606,0.226225634,0.154406943,0.668844443,0.782492768,0.708780886,0.661194045,0.502483963,0.478934213,1.920462913
Ectopocynus_antiquus,0.670869015,0.747131001,NA,NA,0.371036782,0.634343356,0.673258761,NA,NA,NA,0.711218522,NA,NA,0.516868676,NA,2.057576961
Ectopocynus_intermedius,0.740938166,0.677118694,0.802127352,NA,0.367211599,0.589225449,0.619420124,NA,NA,NA,NA,0.685569905,0.467271964,0.605920444,NA,2.526589224
Ectopocynus_simplicidens,0.755503748,0.723112883,NA,0.111405526,0.402010235,0.785617478,0.798509299,0.271354392,0.144824123,NA,0.768949953,NA,NA,0.622358339,NA,2.688204163
Enhydrocyon_basilatus,0.781479039,0.528247332,0.640741061,0.144781654,0.317849362,0.65586354,0.615652114,0.232649663,0.158253235,NA,0.773175673,0.656557683,0.406067547,0.571831617,0.518639634,2.92940034
Enhydrocyon_crassidens,0.765768852,0.53455413,0.634469859,0.1296086,0.299190098,0.685988592,0.726820316,0.240820653,0.153834507,0.724540866,0.754140782,0.603123481,0.25616095,0.580420791,0.540352558,2.808017568
Enhydrocyon_pahinsintewakpa,0.73613451,0.6261714,0.795348112,0.118819569,0.338801286,0.698335664,0.743145174,0.229779412,0.1479329,0.765937927,0.748438198,0.668681761,0.459993935,0.564161413,0.578533837,2.62481733
Enhydrocyon_stenocephalus,0.724901575,NA,NA,NA,NA,NA,NA,NA,NA,0.826446281,0.924444444,NA,NA,NA,0.595535714,2.67196842
Epicyon_haydeni,0.735317362,0.61641338,0.834792952,0.123074564,0.346936977,0.611610818,0.619521156,0.253389821,0.167439226,0.723255017,0.832477269,0.583472513,0.542331495,0.601754855,0.519805161,3.745823172
Epicyon_saevus,0.716669237,0.669961548,0.914969044,0.128838065,0.373997907,0.551874637,0.589339065,0.23814149,0.168428237,0.695418711,0.784424827,0.576277577,0.584889917,0.588651974,0.514299777,3.338273385
Eucyon_davisi,0.671974483,0.804561577,0.953245227,0.096940781,0.418329883,0.485465258,0.55741687,0.205235085,0.120321905,0.701082591,0.767211239,0.533507627,0.646336333,0.390752411,0.351718121,2.344303065
Euoplocyon_brachygnathus,0.703322527,0.659317897,0.895699545,0.099340904,0.349160277,0.661216796,0.714580412,NA,NA,0.729007087,0.786289451,0.657549087,0.529063093,0.564708658,0.492006273,2.428954795
Hesperocyon_coloradensis,0.653614458,0.796225116,0.935989648,0.088788871,0.336258455,0.59158362,0.654520874,NA,NA,0.691714836,0.710526316,0.692406762,0.604251524,0.505988024,0.488099356,1.374256457
Hesperocyon_gregarius,0.673142277,0.822415022,0.990443856,0.09932289,0.420881161,0.531298449,0.615141982,0.227500335,0.129376385,0.782977244,0.75632608,0.641618402,0.569770744,0.424789187,0.470153586,1.188250904
Leptocyon_gregorii,0.700177632,0.724186429,0.92599288,0.110246624,0.390123388,0.432873936,0.552471027,0.191426894,0.104374633,NA,0.705263158,0.587451808,0.619905928,0.430505225,0.425356564,1.533493325
Leptocyon_leidyi,0.66228808,0.803405711,0.99953851,0.091149591,0.41853705,0.48268729,0.558131584,NA,NA,0.645400133,0.790465894,0.571223556,0.643204242,0.425102047,0.352709163,1.580849147
Leptocyon_vafer,0.688529746,0.778246683,1.015635797,0.100416567,0.4143679,0.492977965,0.55062633,0.190474026,0.108150529,0.740174672,0.725376445,0.585083524,0.605975514,0.398355861,0.347284181,1.635543431
Leptocyon_vulpinus,0.699363369,0.80640945,NA,NA,0.440484856,0.481928799,0.542026214,NA,NA,0.816993464,0.687920145,0.446808511,NA,0.404034873,0.446455505,1.570588881
Mesocyon_coryphaeus,0.717041801,0.72810255,0.929711981,NA,0.413805255,0.716944104,0.692209796,NA,NA,0.773590191,0.749744637,0.641726283,0.581180787,0.590707965,0.508914417,2.185036549
Mesocyon_temnodon,0.684419198,0.817692572,1.007437084,0.086121892,0.434932149,0.650309448,0.742277217,0.203923214,0.130074478,0.777519559,0.739775824,0.612311071,0.59092767,0.441986224,0.495635679,1.89737966
Metalopex_bakeri,0.534309946,NA,1.167392524,NA,NA,NA,NA,NA,NA,NA,NA,0.54822335,0.709102023,0.34965035,NA,1.854849164
Metalopex_macconnelli,0.633041893,0.861510966,1.001116539,NA,0.421603423,NA,NA,NA,NA,0.710891089,NA,0.566516735,0.607481692,0.417274544,0.354150693,1.713289035
Metalopex_merriami,0.678072289,0.853586803,1.071930056,NA,0.463363353,NA,NA,NA,NA,0.676855895,NA,0.494890511,0.783337682,0.358529111,0.35443038,2.243060703
Metatomarctus_canavus,0.676497782,0.862040814,1.060147145,0.108471207,0.45406837,0.60241974,0.650933368,0.266673405,0.159168912,0.716626347,0.746591393,0.711665512,0.649455131,0.501198532,0.580680571,2.361852576
Microtomarctus_conferta,0.680089663,0.804414728,1.026707048,0.115510336,0.430482521,0.510713033,0.580183497,0.215159027,0.158694359,0.687984987,0.802173562,0.624181772,0.635174991,0.548081774,0.477482737,2.144863434
Osbornodon_brachypus,0.703766161,0.770046759,NA,0.09648582,0.405325575,0.893582832,0.935742501,0.241368681,0.134247842,0.682991986,NA,NA,NA,0.457849961,NA,2.42996462
Osbornodon_fricki,0.731094765,0.651684224,0.889714208,0.116455942,0.360076049,0.628641095,0.686677389,0.220950028,0.127987069,0.719611507,0.77357111,0.583738037,0.619822308,0.527046311,0.438191067,3.20188223
Osbornodon_iamonensis,0.686776012,0.797434484,0.919229903,NA,0.437291404,0.620556512,0.690432312,NA,NA,NA,0.7957993,0.61216434,0.625305501,0.517527647,0.456418321,2.512445686
Osbornodon_renjiei,0.622498625,0.930211473,1.039905125,NA,0.432856252,0.631002906,0.731365551,NA,NA,0.779779586,0.735729791,0.696319718,0.661051692,0.445046489,0.57552233,1.72140627
Osbornodon_sesnoni,0.644014383,0.896001361,0.982562219,NA,0.463265871,0.758460485,0.84242857,NA,NA,0.830734967,0.850948509,0.664357198,0.641358038,0.416764845,0.447973691,2.007765634
Otarocyon_cooki,0.619541874,1.035572942,1.218692955,0.078316422,0.496442459,0.782793292,0.824043735,0.322002328,0.148766078,0.804316658,0.757940746,0.823174839,0.683445718,0.534801163,0.611938191,0.618572489
Otarocyon_macdonaldi,0.63029316,0.957049574,1.193650326,0.089293955,0.459011863,0.58619449,0.692632299,0.158975542,NA,NA,0.9004329,0.723327306,0.617873648,0.536516854,0.527777778,0.493827217
Paracynarctus_kelloggi,0.649744233,1.01772557,1.28778456,NA,0.530661372,0.725648434,0.777567447,NA,NA,0.699410217,0.757184749,0.705794396,0.751998202,0.510366536,0.527090038,2.104862394
Paracynarctus_sinclairi,0.693281132,,1.381230423,NA,0.462147407,0.605191759,0.637106726,0.26030881,0.141871026,0.737742303,NA,0.79776214,0.800297567,0.537344398,0.517199017,2.171571571
Paraenhydrocyon_josephi,0.914304145,0.737396862,0.987330289,0.09250501,0.523368752,0.661224923,0.701380645,0.200885171,0.117541625,0.794963644,0.794397471,0.631251173,0.572169323,0.472892663,0.500540234,1.869419472
Paraenhydrocyon_wallovianus,0.709179778,0.721815606,0.871815579,0.091080564,0.383836013,0.728657375,0.771451296,NA,0.120361155,0.615136876,0.797666495,0.619869481,0.49917267,0.504647934,0.450607365,2.41947864
Paratomarctus_euthos,0.677406161,0.777572936,0.923716459,0.114500733,0.396046538,0.647444421,0.694047441,0.243738929,0.161781096,0.713941354,0.771682454,0.532281382,0.607582128,0.559465697,0.529924758,2.650518511
Paratomarctus_temerarius,0.663454254,0.832914123,1.044754721,0.107450255,0.425960984,0.565227239,0.629991791,0.224383028,0.16907851,0.707101069,0.749893125,0.626254574,0.653007532,0.549440985,0.45478576,2.467866281
Philotrox_condoni,0.735813369,0.72690878,0.840211945,NA,0.399462009,0.560438387,0.59790231,NA,NA,0.827312875,0.772683859,0.660381654,0.559405705,0.504786352,0.552931194,2.496595557
Phlaocyon_annectens,0.624334878,0.922024701,0.957169257,NA,0.434387538,0.607047148,0.683046819,NA,NA,0.686672078,0.808301034,0.710265967,0.701288191,0.483443275,0.574117647,1.276126108
Phlaocyon_latidens,0.579881657,1.10963183,1.22145085,NA,0.49494486,0.674796607,0.827511206,NA,NA,NA,NA,0.895543175,0.710043412,0.484517304,NA,1.07502911
Phlaocyon_leucosteus,0.651678035,1.029526671,1.153301928,0.098423389,0.558136305,0.837810797,0.89309478,0.260336042,0.128208072,0.772241993,0.836110545,0.824669162,0.649320209,0.595567962,0.618986965,1.379426529
Phlaocyon_marshlandensis,0.556366586,1.219081664,1.204479573,NA,0.528389007,NA,NA,NA,NA,0.69765738,0.863842663,0.936943763,0.641692402,0.590439276,0.696694459,1.762750464
Phlaocyon_minor,0.628873511,1.020743608,1.222366318,0.091310765,0.531606762,0.624739694,0.679519602,NA,0.147484493,0.968660969,0.818149824,0.697020722,0.727007855,0.459703435,0.746753247,1.18883174
Prohesperocyon_wilsoni,0.634311512,0.77602106,0.931028282,NA,0.370175631,0.575715773,0.537000509,NA,NA,NA,NA,0.683789954,0.490461812,0.351123596,0.397009967,1.161261298
Protepicyon_raki,0.723186658,0.68489427,0.872138286,0.129693452,0.381247009,0.587980827,0.630358108,0.252366998,0.191558757,0.757630565,0.822732602,0.57031481,0.577374847,0.591397423,0.525064742,3.188432073
Protomarctus_opatus,0.685200621,0.831445252,1.027550679,0.101172419,0.442930083,0.615519488,0.679441832,0.217583725,0.147572544,0.69131863,0.765077235,0.638813962,0.704752377,0.510223072,0.454049051,2.447937826
Psalidocyon_marianae,0.671689407,0.81856784,1.085732392,0.110903814,0.439605067,0.667574301,0.791733397,0.228648425,0.137334163,0.67115903,0.742943909,0.688378979,0.654607162,0.505845363,0.556818182,2.184729456
Rhizocyon_oreganensis,0.607131822,0.966519248,1.066160363,0.091205212,0.451935287,0.651615229,0.668320906,0.202125836,NA,0.655172414,0.737127371,0.673852103,0.656763475,0.450491326,0.358378824,1.263884668
Sunkahetanka_geringensis,0.698278676,0.735467019,0.918405938,0.105700238,0.406748686,0.67896881,0.672217338,0.23130088,0.133764647,0.855941115,0.739569076,0.679648241,0.488688769,0.578219534,0.642126789,2.320892501
Tomarctus_brevirostris,0.706134622,0.73093494,0.967807518,0.120890924,0.391687854,0.541199563,0.601593977,0.2253755,0.1465915,0.701020408,0.785190104,0.586858677,0.594474631,0.544056725,0.539115646,2.85552806
Tomarctus_hippophaga,0.67406429,0.878299885,1.021429007,0.108961925,0.455050615,0.618743951,0.675616094,0.250966691,0.156625241,0.704698353,0.727355851,0.582239829,0.642339815,0.563759452,0.528649694,2.619398038
Urocyon_citronus,0.605020921,1.080324897,NA,NA,0.528839838,NA,NA,NA,NA,NA,NA,NA,NA,0.430327869,NA,1.705777113
Urocyon_galushi,NA,NA,NA,NA,0.518918754,NA,NA,NA,0.093176271,NA,0.748400853,0.554826617,NA,0.3825,0.379888268,1.665741658
Urocyon_minicephalus,0.551181102,NA,1.244329877,NA,NA,0.620122915,0.72571205,NA,NA,NA,0.700440529,0.598588268,0.694997178,0.427777778,0.429065744,1.624805676
Vulpes_stenognathus,0.666644234,0.800658255,0.956633904,0.102785679,0.418013256,0.476945447,0.524745961,0.187911239,0.110404258,0.681926356,0.6841451,0.530947296,0.642290227,0.371811034,0.346048492,2.113007398
Xenocyon_lycaonoides,0.697868784,0.714715498,NA,NA,0.391885927,0.587524943,0.642643281,NA,NA,NA,NA,NA,NA,NA,NA,2.969588068
Xenocyon_texanus,0.718113208,0.649168448,NA,NA,0.347948266,0.598979139,0.72185356,NA,NA,NA,0.749244713,NA,NA,0.481976744,NA,3.155249601
