,RBL,RLGA,RUGA,M1BS,M2S,IxP4,IxM2,MAT,MAM,C1,c1,P4P,UM21,p4S,P3S,mass
Aelurodon_asthenostylus,0.723438179,0.654276131,0.82003806,0.122617197,0.3608017,0.59925689,0.625174761,0.25181664,0.169334512,0.680965191,0.80375171,0.593378272,0.547235401,0.596428341,0.53953741,3.094753929
Aelurodon_ferox,0.742780764,0.597914128,0.776894121,0.123010551,0.334820018,0.60141381,0.640418022,0.250144574,0.158434535,0.741080235,0.80933808,0.55392991,0.548997217,0.600083851,0.506233399,3.232584141
Aelurodon_mcgrewi,0.727230443,0.626696251,0.762261577,0.123671576,0.343435514,0.638735178,0.684698866,0.218380452,0.155593869,0.729605354,0.792128813,0.563556768,0.507295738,0.640670675,0.538212952,3.125394573
Aelurodon_stirtoni,0.772914728,0.552047138,0.720545942,0.140908888,0.318092383,0.561275968,0.591397654,0.236392689,0.159150881,0.66043793,0.839571672,0.538652522,0.45403924,0.634190564,0.542360067,2.985438332
Aelurodon_taxoides,0.759994707,0.600231915,0.746157222,0.121448584,0.365504815,0.617286842,0.668078095,0.247919534,0.181199804,0.72948201,0.827189752,0.57573303,0.57745714,0.55750088,0.529369898,3.282205542
Archaeocyon_falkenbachi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709976798,NA,NA,NA,NA
Archaeocyon_leptodus,0.668210911,0.851066029,1.111812342,0.103571062,0.446304367,0.563011547,0.622528259,0.219781433,0.135661057,0.699603404,0.719776091,0.660608546,0.668881001,0.440118226,0.464437872,1.321331473
Archaeocyon_pavidus,0.635560419,0.915529461,1.180485607,0.09900548,0.459091312,0.550164271,0.647605368,0.243440003,0.145995793,0.779817557,0.77437355,0.688487546,0.69864347,0.49386596,0.470557843,0.827825319
Borophagus_diversidens,0.715488428,0.569801227,0.789184007,0.138262532,0.316480642,0.903962992,0.829895098,0.256407806,0.183296143,0.686548223,0.832824928,0.569057738,0.512380978,0.721139167,0.652674897,3.522415455
Borophagus_hilli,0.709363534,0.629382151,0.754885605,0.141210375,0.333441943,0.641510988,0.610142037,NA,0.177870116,0.687172775,0.837096669,0.510552764,0.495098984,0.724576614,0.525885559,3.345450717
Borophagus_orc,0.727516779,0.646959285,NA,NA,0.383640922,0.564778648,0.588968059,NA,NA,NA,NA,0.551948052,NA,0.585842148,0.541353383,2.845270091
Borophagus_parvus,0.698751479,0.690329817,0.90689736,0.129445625,0.360460585,0.522776591,0.560425374,NA,NA,0.704826363,0.8553746,0.550993798,0.538628808,0.661389901,0.56741416,2.984732457
Borophagus_pugnator,0.700715687,0.668534587,0.884249421,0.127582868,0.371125372,0.566273981,0.62437098,0.246626247,0.173066982,0.619047619,0.79338523,0.567546173,0.577115189,0.59600519,0.509083482,3.222040386
Borophagus_secundus,0.717695943,0.704539849,0.864917496,0.132796507,0.382882892,0.598896646,0.605041543,0.261504053,0.1780281,0.706521841,0.841012256,0.555996316,0.645795044,0.664811744,0.536559284,3.167526362
Caedocyon_tedfordi,NA,NA,0.723510516,NA,NA,NA,NA,NA,NA,0.777949113,NA,0.655172414,0.431769201,NA,0.471680594,NA
Canis_armbrusteri,0.691810051,0.730566147,0.878779733,0.118543131,0.375589122,0.507152843,0.591050435,0.20215799,0.144579807,0.724551059,0.743375541,0.532420133,0.582634154,0.547880714,0.379731593,3.375477751
Canis_cedazoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466106779,NA,NA,0.328820116,NA
Canis_dirus,0.73186375,0.630161842,0.775759261,0.119832684,0.331224511,0.535362938,0.594726009,0.211471896,0.139057782,0.73159062,0.701675296,0.536940295,0.53321585,0.481225277,0.42617771,3.602740136
Canis_edwardii,0.683013956,0.739663455,0.867020146,0.113077004,0.36788329,0.432257583,0.55301043,0.194942619,0.141234741,0.633426719,0.6425,0.544863208,0.632376052,0.440193185,0.373460471,3.017275374
Canis_fenneus,NA,NA,1.145137888,NA,0.47272028,NA,NA,NA,NA,NA,0.67755102,0.567704562,0.740940184,NA,NA,2.29296208
Canis_ferox,0.701344957,0.721487246,0.931433538,0.097343912,0.380056547,0.526287577,0.590301996,0.204020061,0.122252039,0.605503863,0.732581434,0.539994105,0.630815099,0.411709712,0.320858645,2.633362196
Canis_lepophagus,0.673435881,0.8183264,0.935058258,0.106794617,0.424808388,0.506725489,0.60633551,0.164210154,0.141641935,0.660036727,0.703664918,0.531020527,0.611254677,0.406011925,0.33129275,2.664819882
Canis_thooides,0.686476212,0.775155165,0.914226296,0.10327224,0.412657979,0.497378929,0.563816835,0.213658047,0.12955059,0.740524781,0.732474964,0.585410334,0.632756793,0.42562724,0.358415842,2.459146656
Carpocyon_compressus,0.661841629,0.839054691,1.077490185,0.110303402,0.424729129,0.544808281,0.695070752,0.230027178,0.135428462,0.646236559,0.776369208,0.629865779,0.640657709,0.573154611,0.505013736,2.768771124
Carpocyon_robustus,0.691691469,0.756373081,0.970322033,0.11606935,0.397774488,0.521739526,0.551514079,0.23899211,0.14276069,NA,0.761430613,0.568769381,0.609186108,0.573820992,0.641235241,2.966355324
Carpocyon_webbi,0.692075845,0.792827226,1.033420142,0.112253559,0.427393886,0.567721487,0.625112579,0.21440892,0.156693965,0.562170309,0.765387094,0.602444146,0.694899001,0.545929552,0.508242456,3.019290376
Cerdocyon_texanus,0.642083897,0.894426694,NA,0.104354519,0.433440254,0.441270357,0.580561275,0.211348142,NA,NA,0.75,0.527881041,NA,0.419871795,0.431216931,2.092606533
