,RBL,RLGA,RUGA,M1BS,M2S,IxP4,IxM2,MAT,MAM,C1,c1,P4P,UM21,p4S,P3S,mass,diet
Atelocynus_microtis,0.619310345,0.946018455,1.033905046,0.078854935,0.461683833,0.596549207,0.677986711,0.184141201,0.111608711,0.637662338,0.640463918,0.622865627,0.752419552,0.417426545,0.373873874,7.828702038,3
Canis_adustus,0.628036024,0.987557938,1.121367732,0.084939261,0.491676796,0.537080297,0.58933884,0.183142535,0.099239738,0.638404778,0.668013348,0.555101718,0.708892899,0.453178401,0.363341547,9.217381131,3
Canis_aureus,0.682656658,0.809597821,0.976428992,0.109873703,0.417597638,0.457791263,0.515208488,0.198147951,0.117679966,0.616181207,0.699623083,0.540715509,0.655758912,0.458079049,0.402129697,10.90401498,2
Canis_latrans,0.696410526,0.72673408,0.887904571,0.109582499,0.376857243,0.44612063,0.501444871,0.195096829,0.118491891,0.576676364,0.656061595,0.50701978,0.643040761,0.447495845,0.34800145,15.61267615,2
Canis_lupus,0.707927026,0.676071589,0.864245519,0.110527988,0.359635579,0.528559918,0.577570928,0.203118551,0.130407067,0.621455329,0.655726296,0.588368185,0.583544447,0.521573528,0.449010931,25.78340283,1
Canis_mesomelas,0.658141474,0.784253606,0.925171694,0.10824219,0.387731696,0.447326402,0.517338661,0.188132194,0.12790412,0.617044783,0.661365154,0.531768256,0.642947358,0.44972372,0.415244008,11.55781015,2
Cerdocyon_thous,0.626430589,0.990779521,1.079320505,0.089526426,0.506073161,0.545044254,0.652398424,0.194788185,0.128443314,0.653870017,0.672504587,0.602202545,0.709560652,0.469945267,0.436269296,7.162873779,3
Chrysocyon_brachyurus,0.642572426,0.852337595,1.151559882,0.088579494,0.424805425,0.553250582,0.600141407,0.203072825,0.098446825,0.625816842,0.694300191,0.606582817,0.69453906,0.510690728,0.448374355,17.84969021,3
Cuon_alpinus,0.743259968,0.578336219,0.755518098,0.123735712,0.317889371,0.501556099,0.554466893,0.209454633,0.13262349,0.594645152,0.719356003,0.506157578,0.45980933,0.488664897,0.43505899,15.34466439,1
Lycaon_pictus,0.710660879,0.67143577,0.91514961,0.119698142,0.359289158,0.513272689,0.589734975,0.207096513,0.15433674,0.649288068,0.741203278,0.548065212,0.495007079,0.492522664,0.478354118,20.02498636,1
Nyctereutes_procyonoides,0.620482881,0.948808182,1.122103624,0.093771914,0.439817223,0.561405333,0.669253807,0.208198958,0.132116324,0.674590418,0.691696051,0.590441545,0.664110679,0.442697302,0.419441448,5.64025991,3
Pseudalopex_culpaeus,0.682079666,0.76559551,0.913666004,0.092881357,0.398263169,0.523851633,0.583315096,0.190074259,0.110334031,0.686018458,0.69348722,0.55666077,0.650668408,0.401977146,0.372213433,9.315630299,3
Pseudalopex_griseus,0.641653203,0.875987705,1.065036499,0.100070513,0.435740148,0.435905219,0.49918898,0.181210033,0.115079257,0.662912494,0.683086515,0.55602299,0.705012558,0.39103933,0.374580142,7.118515711,3
Pseudalopex_gymnocercus,0.639570224,0.895556169,1.065791699,0.097871712,0.436815995,0.459938195,0.545301353,0.171994504,0.096479742,0.63764475,0.682698787,0.574610158,0.686573416,0.40952362,0.346963277,8.543862347,3
Pseudalopex_sechurae,0.623971587,1.002734287,1.138383343,0.085978027,0.494241864,0.519143238,0.595976653,0.163587303,0.116979011,0.694275572,0.756712783,0.632233604,0.719544562,0.472713223,0.382359504,5.290582909,3
Speothos_venaticus,0.75043193,0.562424724,0.629964873,0.104993327,0.291314105,0.612972429,0.67871647,0.251000509,0.136022361,0.699242372,0.771232304,0.544010934,0,0.516683325,0.601560845,6.793888704,1
Urocyon_cinereoargenteus,0.631509359,0.969976572,1.140499232,0.088307053,0.473792227,0.506388531,0.596115411,0.211436747,0.105262773,0.65778228,0.726855302,0.616831419,0.720188107,0.477459204,0.42309528,5.92475191,3
Urocyon_littoralis,0.628086433,0.946804663,1.118270472,0.095303735,0.453853131,0.481665009,0.55178909,0.2020781,0.103856022,0.65270053,0.734971402,0.637210715,0.68342038,0.468111077,0.418519587,4.403939104,3
Vulpes_bengalensis,0.622833725,0.995154903,1.1668758,0.084901117,0.48371983,0.531421842,0.576937619,0.168696163,0.104305205,0.674923398,0.781445646,0.572003406,0.716320869,0.430646675,0.367613224,4.305877606,3
Vulpes_chama,0.623931035,0.952235061,1.151940979,0.088382406,0.459736978,0.494884693,0.529659477,0.197718156,0.098322671,0.688798471,0.693923083,0.598583705,0.747124457,0.451268271,0.395739771,5.502555621,3
Vulpes_lagopus,0.701448929,0.690730145,0.912027078,0.10541797,0.364545579,0.491448109,0.554941017,0.204996252,0.122891909,0.635244331,0.631292206,0.572486295,0.598806589,0.44492979,0.403645749,6.760134726,2
Vulpes_pallida,0.632076411,0.986564831,1.207246537,0.086295228,0.486187742,0.497066,0.540479931,0.177381552,0.09882543,0.649497219,0.767151301,0.586807107,0.77235905,0.418883997,0.389309234,3.742181123,3
Vulpes_rueppelli,0.657204482,0.88695081,1.047912037,0.098941583,0.448749776,0.478111111,0.515826524,0.199567535,0.105271924,0.637669123,0.706862795,0.535893643,0.67396952,0.420883087,0.378043826,5.203212118,3
Vulpes_velox,0.678806757,0.750106927,0.994423736,0.096550857,0.394028551,0.464337116,0.500894566,0.181112331,0.101389047,0.662934169,0.7056424,0.565138423,0.650125877,0.370190206,0.331257115,5.310620131,2
Vulpes_vulpes,0.67798264,0.775808445,0.921676781,0.099552914,0.395416508,0.470661005,0.519437486,0.197154172,0.099637711,0.644265101,0.652890562,0.562464223,0.618275176,0.403318437,0.340006437,8.340314625,2
Vulpes_zerda,0.609088282,1.056099175,1.126136019,0.09014004,0.508179534,0.50527683,0.543309486,0.200661581,0.110513643,0.677148109,0.682935794,0.569059153,0.688382086,0.394846825,0.419178151,2.799991144,3
Ailurus_fulgens,0.613176628,1.362830013,1.621810303,0.088334559,0.687859593,0.866071127,0.955740648,0.379867485,0.31992218,0.757086485,0.550477172,1.102356525,0.827995943,0.578191706,0.830553098,1.25,4
Bassaricyon_alleni,0.47555027,2.102255663,1.574249494,0.050485268,0.75920393,1.25066536,1.247443495,0.308940415,0.121530217,0.82410328,0.738526188,1.164041496,0.777887475,0.786873047,0.925395197,1.25,4
Bassaricyon_gabbii,0.49278828,2.070510386,1.549544667,0.050596435,0.764757482,1.331682478,1.366101088,0.342570032,0.123979116,0.783069403,0.777403274,1.142557407,0.786490751,0.852101792,0.820485369,0.906,4
Bassariscus_astutus,0.639533184,1.019270146,1.045572635,0.096370206,0.514879164,0.578648041,0.590978057,0.340233477,0.167205775,0.706886572,0.655897346,0.759098006,0.603256037,0.515023586,0.520999227,4.578430002,3
Bassariscus_sumichrasti,0.604096122,1.304258221,1.174032295,0.076905502,0.646388759,0.720335023,0.729739478,0.316497784,0.112653106,0.697454934,0.633203896,0.83179776,0.767506057,0.612492584,0.661245343,3.775499999,3
Nasua_narica,0.547331478,1.903582564,1.393390792,0.052575053,0.849557862,1.101168072,1.160882755,0.202395095,0.114651639,0.581142069,0.777338208,0.949441444,0.934423041,0.653064657,0.696369279,6.931720002,3
Nasua_nasua,0.525596005,1.83631735,1.376226565,0.04841602,0.772118537,1.169986564,1.225376105,0.197278494,0.087653789,0.516304737,0.811081165,0.93735491,0.980535077,0.577190712,0.686302592,1.01037,3
Potos_flavus,0.496343758,2.055692235,1.390896729,0.04514842,0.785832515,1.978049096,1.989576997,0.36855383,0.445829864,0.756530925,0.605828241,1.195737643,0.830753262,0.734598232,0.793324997,2.441810001,4
Procyon_cancrivorous,0.598862316,1.464210257,1.311191415,0.07974141,0.715460142,0.856598747,0.894184534,0.303258877,0.128174284,0.819555384,0.790169746,1.076244105,0.673229584,0.745903078,0.999218677,6.373720003,3
Procyon_lotor,0.631452138,1.47336402,1.427947009,0.081471354,0.74508548,0.823165057,0.873098186,0.331559525,0.171176682,0.731666613,0.661080098,1.00287414,0.770516348,0.702159436,0.813442056,5.170079999,3
