Species	Extant	SampT	MinT	MaxT
t1	FALSE	47.996543603152986	47.8	56
t1	FALSE	45.13623371596512	41.2	47.8
t1	FALSE	44.51736484542235	41.2	47.8
t1	FALSE	44.0072611383974	41.2	47.8
t1	FALSE	43.41394866409964	41.2	47.8
t2	FALSE	46.64867050851542	41.2	47.8
t2	FALSE	43.77407873120134	41.2	47.8
t2	FALSE	41.549484303587036	41.2	47.8
t2	FALSE	40.767288290872415	37.8	41.2
t2	FALSE	40.602081069546415	37.8	41.2
t2	FALSE	39.73704007683053	37.8	41.2
t2	FALSE	39.49564247333724	37.8	41.2
t2	FALSE	39.292662045629186	37.8	41.2
t2	FALSE	39.17756907866427	37.8	41.2
t2	FALSE	38.770524690734845	37.8	41.2
t2	FALSE	38.73354221070427	37.8	41.2
t3	FALSE	38.99794742116105	37.8	41.2
t3	FALSE	38.79484728046431	37.8	41.2
t3	FALSE	36.12072981020273	33.9	37.8
t4	FALSE	37.292651664606716	33.9	37.8
t4	FALSE	35.13146265163482	33.9	37.8
t4	FALSE	33.463937594749794	27.82	33.9
t4	FALSE	33.075674321082275	27.82	33.9
t4	FALSE	32.81295721677267	27.82	33.9
t4	FALSE	32.33480665796148	27.82	33.9
t4	FALSE	31.942284604569224	27.82	33.9
t4	FALSE	31.843340894000033	27.82	33.9
t4	FALSE	30.667988467097913	27.82	33.9
t4	FALSE	30.285795929296363	27.82	33.9
t4	FALSE	27.617180454064606	23.03	27.82
t4	FALSE	27.52071255076025	23.03	27.82
t5	FALSE	34.37392742909503	33.9	37.8
t5	FALSE	34.33109227045446	33.9	37.8
t5	FALSE	33.63518314043291	27.82	33.9
t5	FALSE	32.61147082832001	27.82	33.9
t5	FALSE	31.896444268870376	27.82	33.9
t5	FALSE	31.59494906618303	27.82	33.9
t5	FALSE	31.262489912481232	27.82	33.9
t5	FALSE	30.619069935219393	27.82	33.9
t7	FALSE	35.7475754535847	33.9	37.8
t7	FALSE	32.25507561531431	27.82	33.9
t7	FALSE	31.72620344138807	27.82	33.9
t7	FALSE	31.414041031205123	27.82	33.9
t7	FALSE	29.16707953131806	27.82	33.9
t7	FALSE	26.821888358086333	23.03	27.82
t7	FALSE	26.711615216289516	23.03	27.82
t7	FALSE	24.13692260173639	23.03	27.82
t7	FALSE	23.968486927953936	23.03	27.82
t8	FALSE	26.524371599056696	23.03	27.82
t8	FALSE	24.61312540495357	23.03	27.82
t8	FALSE	23.44146133093315	23.03	27.82
t8	FALSE	23.32988493708273	23.03	27.82
t8	FALSE	21.425249713876614	20.44	23.03
t8	FALSE	21.212545023873435	20.44	23.03
t9	FALSE	32.53637709149471	27.82	33.9
t9	FALSE	31.863959721670284	27.82	33.9
t9	FALSE	31.089116294966065	27.82	33.9
t9	FALSE	30.695418216350497	27.82	33.9
t10	FALSE	29.73536574448988	27.82	33.9
t10	FALSE	28.633985401949	27.82	33.9
t11	FALSE	25.529627459678032	23.03	27.82
t12	FALSE	28.52427348926024	27.82	33.9
t12	FALSE	28.32119238793965	27.82	33.9
t12	FALSE	27.923838568191382	27.82	33.9
t12	FALSE	27.746607713071437	23.03	27.82
t12	FALSE	25.085291892308387	23.03	27.82
t12	FALSE	24.950158458575014	23.03	27.82
t12	FALSE	23.227975015823937	23.03	27.82
t12	FALSE	22.74671189444612	20.44	23.03
t12	FALSE	21.763595389654835	20.44	23.03
t12	FALSE	20.266365551459337	15.97	20.44
t12	FALSE	20.246963961545653	15.97	20.44
t12	FALSE	17.70722236480838	15.97	20.44
t12	FALSE	17.38673445329014	15.97	20.44
t12	FALSE	17.245257563406533	15.97	20.44
t12	FALSE	16.916421710750157	15.97	20.44
t12	FALSE	16.856362476421147	15.97	20.44
t13	FALSE	25.377358188454576	23.03	27.82
t14	FALSE	24.776153522908245	23.03	27.82
t14	FALSE	24.34306389458773	23.03	27.82
t14	FALSE	23.370278507840734	23.03	27.82
t14	FALSE	23.276618999958302	23.03	27.82
t14	FALSE	21.33056661223634	20.44	23.03
t14	FALSE	14.631812161571368	13.82	15.97
t14	FALSE	14.329373945462798	13.82	15.97
t14	FALSE	14.090804220959598	13.82	15.97
t14	FALSE	13.536631216818073	11.63	13.82
t16	FALSE	25.329740260625407	23.03	27.82
t18	FALSE	22.276082070362715	20.44	23.03
t18	FALSE	21.365390153473296	20.44	23.03
t18	FALSE	19.086148567800628	15.97	20.44
t18	FALSE	17.56970278864755	15.97	20.44
t18	FALSE	16.54247994450634	15.97	20.44
t18	FALSE	15.388615422837645	13.82	15.97
t18	FALSE	14.908350192967966	13.82	15.97
t18	FALSE	13.693257289192822	11.63	13.82
t18	FALSE	12.714730824452872	11.63	13.82
t18	FALSE	11.44729537920906	7.25	11.63
t19	FALSE	17.886556559903912	15.97	20.44
t20	FALSE	14.702658054344418	13.82	15.97
t20	FALSE	14.207463190156226	13.82	15.97
t20	FALSE	14.022479646363934	13.82	15.97
t20	FALSE	13.988420942871059	13.82	15.97
t21	FALSE	25.451013010166818	23.03	27.82
t22	FALSE	22.80566879627139	20.44	23.03
t23	FALSE	22.590293994903078	20.44	23.03
t23	FALSE	22.195557722089678	20.44	23.03
t23	FALSE	20.289589321228004	15.97	20.44
t23	FALSE	20.19184529466479	15.97	20.44
t23	FALSE	19.27032169426584	15.97	20.44
t23	FALSE	14.506172264571376	13.82	15.97
t24	FALSE	17.737361389315257	15.97	20.44
t24	FALSE	17.016801910825407	15.97	20.44
t25	FALSE	19.81494081459499	15.97	20.44
t26	FALSE	17.38847881217208	15.97	20.44
t26	FALSE	17.380932345597486	15.97	20.44
t26	FALSE	16.262749320845195	15.97	20.44
t26	FALSE	15.90951902491274	13.82	15.97
t26	FALSE	15.883515320290016	13.82	15.97
t26	FALSE	15.782988679572398	13.82	15.97
t27	FALSE	14.811066530747354	13.82	15.97
t27	FALSE	13.236205122813232	11.63	13.82
t29	FALSE	16.708018417476133	15.97	20.44
t32	FALSE	8.899874267870636	7.25	11.63
t33	FALSE	16.893740629550855	15.97	20.44
t33	FALSE	14.91252270859409	13.82	15.97
t34	FALSE	16.04962297948073	15.97	20.44
t35	FALSE	15.399251511073608	13.82	15.97
t36	FALSE	15.188255647234605	13.82	15.97
t37	FALSE	15.053106211944602	13.82	15.97
t37	FALSE	14.267023309728707	13.82	15.97
t38	FALSE	23.784957571953726	23.03	27.82
t38	FALSE	23.592670310535333	23.03	27.82
t38	FALSE	23.176092712441775	23.03	27.82
t39	FALSE	20.80126945911566	20.44	23.03
t39	FALSE	20.108299245387798	15.97	20.44
t39	FALSE	19.525730267817377	15.97	20.44
t40	FALSE	17.699336779102396	15.97	20.44
t40	FALSE	17.289596057295512	15.97	20.44
t40	FALSE	17.125431281242278	15.97	20.44
t40	FALSE	14.890205061380684	13.82	15.97
t41	FALSE	15.375536379818222	13.82	15.97
t41	FALSE	13.621711245521247	11.63	13.82
t41	FALSE	12.72518924363343	11.63	13.82
t42	FALSE	14.436634842684114	13.82	15.97
t43	FALSE	17.80343470811622	15.97	20.44
t43	FALSE	17.708327254072774	15.97	20.44
t43	FALSE	17.14682273530498	15.97	20.44
t43	FALSE	16.6820827895053	15.97	20.44
t43	FALSE	15.56804502458067	13.82	15.97
t44	FALSE	19.56225015796366	15.97	20.44
t44	FALSE	18.529120682147504	15.97	20.44
t44	FALSE	17.988894820058288	15.97	20.44
t44	FALSE	17.414550556421318	15.97	20.44
t45	FALSE	18.026837731538887	15.97	20.44
t46	FALSE	14.829989111447581	13.82	15.97
t46	FALSE	13.762535885247317	11.63	13.82
t46	FALSE	13.293982153270825	11.63	13.82
t46	FALSE	12.802734962707461	11.63	13.82
t46	FALSE	12.551881716800096	11.63	13.82
t48	FALSE	14.724645492709051	13.82	15.97
t48	FALSE	14.54077649152459	13.82	15.97
t48	FALSE	13.119975627743784	11.63	13.82
t48	FALSE	8.113746215020143	7.25	11.63
t49	FALSE	24.160631496298066	23.03	27.82
t51	TRUE	13.698786611617088	11.63	13.82
t51	TRUE	12.896055965892032	11.63	13.82
t51	TRUE	11.083268597412392	7.25	11.63
t51	TRUE	10.244696937851948	7.25	11.63
t51	TRUE	9.571796748005951	7.25	11.63
