Species	Extant	SampT	MinT	MaxT
t1	FALSE	48.95279015554665	47.8	56
t1	FALSE	47.31095504909392	41.2	47.8
t1	FALSE	46.90311548635002	41.2	47.8
t1	FALSE	45.59496127590175	41.2	47.8
t1	FALSE	44.149703010624584	41.2	47.8
t1	FALSE	42.93589206662619	41.2	47.8
t2	FALSE	46.565675462009345	41.2	47.8
t2	FALSE	46.178199207754766	41.2	47.8
t2	FALSE	45.71584396456155	41.2	47.8
t2	FALSE	42.11429856080291	41.2	47.8
t3	FALSE	41.36590039280843	41.2	47.8
t3	FALSE	41.200280162670126	41.2	47.8
t4	FALSE	42.08513102049668	41.2	47.8
t4	FALSE	39.0638413367863	37.8	41.2
t6	FALSE	40.672804370640954	37.8	41.2
t6	FALSE	39.729821439950904	37.8	41.2
t6	FALSE	39.25606327236368	37.8	41.2
t6	FALSE	37.37259741240871	33.9	37.8
t6	FALSE	35.14254578511009	33.9	37.8
t6	FALSE	34.71745840431898	33.9	37.8
t6	FALSE	34.211407192701095	33.9	37.8
t6	FALSE	29.765460033871452	27.82	33.9
t7	FALSE	39.872648525249055	37.8	41.2
t7	FALSE	39.50198765496242	37.8	41.2
t7	FALSE	33.567416711831605	27.82	33.9
t7	FALSE	33.50077382192124	27.82	33.9
t7	FALSE	31.100031918158344	27.82	33.9
t7	FALSE	29.536126587867525	27.82	33.9
t8	FALSE	40.48717131346881	37.8	41.2
t9	FALSE	38.538556586523825	37.8	41.2
t9	FALSE	37.41772025035816	33.9	37.8
t9	FALSE	35.16868698003843	33.9	37.8
t10	FALSE	38.52566669246588	37.8	41.2
t11	FALSE	36.14325942848595	33.9	37.8
t11	FALSE	34.04935413239329	33.9	37.8
t11	FALSE	33.37694996763427	27.82	33.9
t11	FALSE	31.165743222509192	27.82	33.9
t11	FALSE	29.500173911972144	27.82	33.9
t11	FALSE	28.801884767671133	27.82	33.9
t11	FALSE	28.16502519308465	27.82	33.9
t11	FALSE	28.060399954710974	27.82	33.9
t11	FALSE	27.339566748161687	23.03	27.82
t11	FALSE	26.26510324379511	23.03	27.82
t12	FALSE	36.90739575559566	33.9	37.8
t12	FALSE	34.66748533564932	33.9	37.8
t13	FALSE	38.59291315164424	37.8	41.2
t13	FALSE	37.69843170039363	33.9	37.8
t13	FALSE	34.29508361225319	33.9	37.8
t14	FALSE	38.48031968486417	37.8	41.2
t14	FALSE	37.33390407872308	33.9	37.8
t14	FALSE	35.90149996596692	33.9	37.8
t15	FALSE	31.02688498436917	27.82	33.9
t15	FALSE	29.597474960038276	27.82	33.9
t15	FALSE	26.915770345810838	23.03	27.82
t15	FALSE	26.639723932381376	23.03	27.82
t15	FALSE	19.862982666466838	15.97	20.44
t15	FALSE	19.14023266301722	15.97	20.44
t15	FALSE	13.09647763868174	11.63	13.82
t15	FALSE	10.482147252022813	7.25	11.63
t15	FALSE	10.46733580233861	7.25	11.63
t18	FALSE	25.484660040398705	23.03	27.82
t18	FALSE	24.346883613427746	23.03	27.82
t19	FALSE	35.51589970762653	33.9	37.8
t19	FALSE	33.63185697529296	27.82	33.9
t19	FALSE	33.54428954110278	27.82	33.9
t19	FALSE	32.92337583376243	27.82	33.9
t19	FALSE	31.70215996818765	27.82	33.9
t19	FALSE	29.84700508701783	27.82	33.9
t19	FALSE	28.248552692296666	27.82	33.9
t19	FALSE	27.398068971925603	23.03	27.82
t19	FALSE	24.517654605371533	23.03	27.82
t21	FALSE	33.040645973364235	27.82	33.9
t22	FALSE	30.62992487831989	27.82	33.9
t22	FALSE	29.74756622578034	27.82	33.9
t22	FALSE	29.24797575066814	27.82	33.9
t23	FALSE	29.98834743928259	27.82	33.9
t23	FALSE	27.50828728106919	23.03	27.82
t23	FALSE	21.480372653018765	20.44	23.03
t23	FALSE	21.303448049958877	20.44	23.03
t24	FALSE	30.307401673791052	27.82	33.9
t24	FALSE	30.048344043937565	27.82	33.9
t24	FALSE	26.02272483807201	23.03	27.82
t25	FALSE	22.462769073304543	20.44	23.03
t25	FALSE	20.722637417680605	20.44	23.03
t26	FALSE	18.459723003877865	15.97	20.44
t26	FALSE	16.770797463887178	15.97	20.44
t26	FALSE	15.874421805896603	13.82	15.97
t26	FALSE	13.835926257591154	13.82	15.97
t27	FALSE	16.073644231394624	15.97	20.44
t27	FALSE	14.23929919622369	13.82	15.97
t30	FALSE	9.360435089610668	7.25	11.63
t30	FALSE	7.9953395962269624	7.25	11.63
t30	FALSE	7.533345648601802	7.25	11.63
t30	FALSE	4.938402099201809	3.6	5.33
t30	FALSE	4.2865790218509545	3.6	5.33
