Species	Extant	SampT	MinT	MaxT
t1	FALSE	48.813506567394	47.8	56
t1	FALSE	46.07901970632358	41.2	47.8
t1	FALSE	45.447257975675	41.2	47.8
t1	FALSE	43.429083387078755	41.2	47.8
t1	FALSE	42.75609923404645	41.2	47.8
t1	FALSE	42.53378045236828	41.2	47.8
t1	FALSE	42.45371442189004	41.2	47.8
t2	FALSE	41.62698761785923	41.2	47.8
t2	FALSE	38.77230592887152	37.8	41.2
t2	FALSE	37.99346506665695	37.8	41.2
t2	FALSE	36.917962148555105	33.9	37.8
t3	FALSE	33.61776544967071	27.82	33.9
t3	FALSE	29.903265629814975	27.82	33.9
t3	FALSE	29.02839567411136	27.82	33.9
t3	FALSE	28.349156984796494	27.82	33.9
t3	FALSE	26.403070298775976	23.03	27.82
t3	FALSE	25.40443770777916	23.03	27.82
t3	FALSE	21.656090817196077	20.44	23.03
t5	FALSE	32.339663886443546	27.82	33.9
t6	FALSE	29.109527173384617	27.82	33.9
t6	FALSE	28.67063468036015	27.82	33.9
t6	FALSE	27.881186604786688	27.82	33.9
t6	FALSE	27.74992518035227	23.03	27.82
t6	FALSE	27.197898810743332	23.03	27.82
t6	FALSE	23.999411901641082	23.03	27.82
t6	FALSE	22.78942684661169	20.44	23.03
t6	FALSE	22.138266112837385	20.44	23.03
t6	FALSE	21.842090021069538	20.44	23.03
t6	FALSE	21.096449676006785	20.44	23.03
t6	FALSE	20.055452894456437	15.97	20.44
t6	FALSE	19.801958127676063	15.97	20.44
t6	FALSE	18.60975047646325	15.97	20.44
t6	FALSE	18.215028314464885	15.97	20.44
t6	FALSE	12.951925757206801	11.63	13.82
t6	FALSE	12.619606222823087	11.63	13.82
t7	FALSE	28.085615072672564	27.82	33.9
t7	FALSE	26.93205551271637	23.03	27.82
t7	FALSE	25.898859066230553	23.03	27.82
t7	FALSE	24.87209709667911	23.03	27.82
t7	FALSE	22.68383077102112	20.44	23.03
t7	FALSE	22.558347396909767	20.44	23.03
t7	FALSE	22.45268329616784	20.44	23.03
t7	FALSE	17.302025421765073	15.97	20.44
t8	FALSE	19.34934362376976	15.97	20.44
t8	FALSE	18.58027439731109	15.97	20.44
t8	FALSE	17.904103652743913	15.97	20.44
