Species	Extant	SampT	MinT	MaxT
t1	FALSE	49.13100810860915	47.8	56
t1	FALSE	46.14249295930515	41.2	47.8
t1	FALSE	44.3671883736939	41.2	47.8
t1	FALSE	43.933889579141216	41.2	47.8
t1	FALSE	42.27664297093814	41.2	47.8
t1	FALSE	36.386533834407565	33.9	37.8
t1	FALSE	32.6512190965702	27.82	33.9
t1	FALSE	31.830247776357353	27.82	33.9
t1	FALSE	31.64513031379974	27.82	33.9
t1	FALSE	31.202381512943496	27.82	33.9
t2	FALSE	45.03195027664613	41.2	47.8
t2	FALSE	43.84682076454472	41.2	47.8
t2	FALSE	39.12851569843527	37.8	41.2
t2	FALSE	37.99264724408325	37.8	41.2
t2	FALSE	37.0713919172534	33.9	37.8
t2	FALSE	36.80970060867306	33.9	37.8
t3	FALSE	46.044157754942916	41.2	47.8
t3	FALSE	45.84629256961509	41.2	47.8
t4	FALSE	44.27762087281998	41.2	47.8
t5	FALSE	42.28002081298152	41.2	47.8
t5	FALSE	40.7479782423944	37.8	41.2
t5	FALSE	39.98409746987827	37.8	41.2
t5	FALSE	39.193489544373826	37.8	41.2
t5	FALSE	38.46564027508803	37.8	41.2
t5	FALSE	36.10218470207517	33.9	37.8
t5	FALSE	35.50556152443503	33.9	37.8
t6	FALSE	40.01769349740199	37.8	41.2
t6	FALSE	37.36295828992833	33.9	37.8
t6	FALSE	36.14640057949681	33.9	37.8
t7	FALSE	40.07277262588316	37.8	41.2
t7	FALSE	35.540469706359964	33.9	37.8
t7	FALSE	34.11391820983394	33.9	37.8
t7	FALSE	32.584318662531786	27.82	33.9
t7	FALSE	32.10158526478719	27.82	33.9
t7	FALSE	30.632193205500332	27.82	33.9
t7	FALSE	30.536706839310316	27.82	33.9
t7	FALSE	30.36444266288945	27.82	33.9
t7	FALSE	29.752810273873	27.82	33.9
t7	FALSE	25.03254381647797	23.03	27.82
t7	FALSE	22.126176835080052	20.44	23.03
t7	FALSE	21.27904424261805	20.44	23.03
t7	FALSE	20.293370928657616	15.97	20.44
t9	FALSE	34.99342611085939	33.9	37.8
t9	FALSE	34.1101021899687	33.9	37.8
t9	FALSE	27.046285303993574	23.03	27.82
t9	FALSE	25.160509466030327	23.03	27.82
t10	FALSE	36.02206793250173	33.9	37.8
t12	FALSE	37.362511195858495	33.9	37.8
t12	FALSE	36.89138930670401	33.9	37.8
t12	FALSE	34.887126950921484	33.9	37.8
t12	FALSE	33.4327988722289	27.82	33.9
t12	FALSE	33.21779484440778	27.82	33.9
t15	FALSE	28.0938133033476	27.82	33.9
t15	FALSE	27.8448603700394	27.82	33.9
t17	FALSE	26.932505000292856	23.03	27.82
t17	FALSE	26.904080171979565	23.03	27.82
t17	FALSE	21.804539048275178	20.44	23.03
t17	FALSE	17.76706966511406	15.97	20.44
t17	FALSE	14.615148936896652	13.82	15.97
t18	FALSE	32.668913854009595	27.82	33.9
t19	FALSE	32.61959684378848	27.82	33.9
t19	FALSE	32.28087854869113	27.82	33.9
t19	FALSE	31.26706155500755	27.82	33.9
t19	FALSE	26.773861841904946	23.03	27.82
t19	FALSE	26.003505753657304	23.03	27.82
t20	FALSE	30.6170491559866	27.82	33.9
t20	FALSE	27.185435453827623	23.03	27.82
t20	FALSE	23.208307387873127	23.03	27.82
t20	FALSE	22.490331651277437	20.44	23.03
t22	FALSE	34.66696319399641	33.9	37.8
t23	FALSE	31.945854685786273	27.82	33.9
t23	FALSE	30.46898114648211	27.82	33.9
t23	FALSE	27.106059100316596	23.03	27.82
t23	FALSE	17.50994097103088	15.97	20.44
t25	FALSE	22.48480453858869	20.44	23.03
t25	FALSE	21.74115613229398	20.44	23.03
t26	FALSE	18.44455231089024	15.97	20.44
t26	FALSE	15.616657627130984	13.82	15.97
t27	TRUE	15.10382082845814	13.82	15.97
t27	TRUE	12.231807650615167	11.63	13.82
t27	TRUE	11.437682035927367	7.25	11.63
t27	TRUE	10.892319195582068	7.25	11.63
t27	TRUE	3.355051946924604	0	3.6
t27	TRUE	1.4942517012318532	0	3.6
t27	TRUE	0.7223918486347358	0	3.6
t28	FALSE	14.503238233930958	13.82	15.97
t28	FALSE	14.224509210519088	13.82	15.97
t29	FALSE	28.236986850526687	27.82	33.9
t30	FALSE	30.487347355159827	27.82	33.9
t30	FALSE	29.500164837623842	27.82	33.9
t30	FALSE	27.52623553494094	23.03	27.82
t32	FALSE	20.164420218378428	15.97	20.44
t32	FALSE	19.164370080627624	15.97	20.44
t32	FALSE	18.379621575757984	15.97	20.44
t32	FALSE	16.389418748462894	15.97	20.44
t32	FALSE	14.970494929109293	13.82	15.97
t32	FALSE	14.873006057333725	13.82	15.97
t32	FALSE	14.593658178272008	13.82	15.97
t32	FALSE	13.89851491914159	13.82	15.97
t33	FALSE	20.97435603956925	20.44	23.03
t35	FALSE	31.557676027574484	27.82	33.9
t35	FALSE	30.88625264917398	27.82	33.9
t35	FALSE	30.880323182837014	27.82	33.9
t35	FALSE	30.53892936375821	27.82	33.9
t35	FALSE	29.359188672187997	27.82	33.9
t35	FALSE	28.42627562650411	27.82	33.9
t35	FALSE	26.63247640954513	23.03	27.82
t35	FALSE	18.40502683266348	15.97	20.44
t35	FALSE	16.86688998356764	15.97	20.44
t35	FALSE	16.71394936435945	15.97	20.44
t35	FALSE	15.530679424042773	13.82	15.97
t38	FALSE	29.264352131759544	27.82	33.9
t38	FALSE	28.28911838972362	27.82	33.9
t38	FALSE	23.159669690432786	23.03	27.82
t38	FALSE	22.675080103467046	20.44	23.03
t38	FALSE	22.201607958081006	20.44	23.03
t38	FALSE	21.626713347288607	20.44	23.03
t38	FALSE	21.536873093473552	20.44	23.03
t38	FALSE	20.246534257794558	15.97	20.44
t38	FALSE	17.464396499444803	15.97	20.44
t39	FALSE	22.665458682282406	20.44	23.03
t39	FALSE	22.550656767365865	20.44	23.03
t39	FALSE	22.051351199661724	20.44	23.03
t39	FALSE	20.92789387217664	20.44	23.03
t39	FALSE	20.834143992208205	20.44	23.03
t40	TRUE	7.477754105975045	7.25	11.63
t40	TRUE	6.849389795654908	5.33	7.25
t40	TRUE	6.546152520434454	5.33	7.25
t40	TRUE	5.293256563575461	3.6	5.33
t40	TRUE	5.067456059598818	3.6	5.33
t40	TRUE	4.081434088268772	3.6	5.33
t40	TRUE	3.2131882243075864	0	3.6
t40	TRUE	1.5603138953406486	0	3.6
t41	FALSE	8.987900372402997	7.25	11.63
t41	FALSE	4.1984888166793795	3.6	5.33
t41	FALSE	4.007206496843061	3.6	5.33
t42	FALSE	7.56250305721958	7.25	11.63
t42	FALSE	5.19434946659463	3.6	5.33
t42	FALSE	4.056777110094899	3.6	5.33
t42	FALSE	3.701300344201499	3.6	5.33
t43	TRUE	5.332538661886218	5.33	7.25
t43	TRUE	4.1858865612784655	3.6	5.33
t43	TRUE	2.114080361513828	0	3.6
t44	FALSE	5.665687165650034	5.33	7.25
t44	FALSE	4.375076823363507	3.6	5.33
t45	TRUE	3.8761113498250808	3.6	5.33
t45	TRUE	3.0353831702734198	0	3.6
t45	TRUE	2.4343220161917714	0	3.6
t45	TRUE	0.7058823413319999	0	3.6
t46	FALSE	4.006551805554537	3.6	5.33
t46	FALSE	3.7961041616710105	3.6	5.33
t46	FALSE	3.776889618535087	3.6	5.33
t47	TRUE	2.058836865038657	0	3.6
t47	TRUE	1.6214217197010754	0	3.6
t47	TRUE	1.3209564889425636	0	3.6
t47	TRUE	0.472964419854641	0	3.6
t48	FALSE	30.725129951901373	27.82	33.9
t49	FALSE	26.58425514579799	23.03	27.82
t49	FALSE	26.451379497266693	23.03	27.82
t52	FALSE	13.122285104038212	11.63	13.82
t52	FALSE	13.066867284813242	11.63	13.82
t54	FALSE	29.5791861115084	27.82	33.9
t54	FALSE	28.694005463092118	27.82	33.9
t54	FALSE	25.221802419773212	23.03	27.82
t54	FALSE	24.923668974800876	23.03	27.82
t54	FALSE	23.033042166256454	23.03	27.82
t54	FALSE	22.60881891886562	20.44	23.03
t54	FALSE	21.049466027429972	20.44	23.03
t54	FALSE	20.270926611049745	15.97	20.44
t54	FALSE	17.37892646421064	15.97	20.44
t54	FALSE	16.896158312301523	15.97	20.44
t54	FALSE	15.301687593510017	13.82	15.97
t55	FALSE	20.676406009628376	20.44	23.03
t55	FALSE	19.988210876782382	15.97	20.44
t55	FALSE	19.41742327654078	15.97	20.44
t55	FALSE	18.33203781334027	15.97	20.44
t55	FALSE	16.68607848456425	15.97	20.44
t56	FALSE	17.660901520874802	15.97	20.44
t57	FALSE	20.652560382367678	20.44	23.03
t57	FALSE	20.329179356092222	15.97	20.44
t57	FALSE	16.734043905897103	15.97	20.44
t57	FALSE	16.480269003850367	15.97	20.44
t57	FALSE	13.982971199131725	13.82	15.97
t57	FALSE	13.501511366381465	11.63	13.82
t57	FALSE	12.786732568903389	11.63	13.82
t57	FALSE	11.431475030756118	7.25	11.63
t57	FALSE	10.96717204296452	7.25	11.63
t58	FALSE	27.20173695519484	23.03	27.82
t58	FALSE	27.01547914338866	23.03	27.82
t58	FALSE	22.708986520698982	20.44	23.03
t58	FALSE	19.03713673363176	15.97	20.44
t58	FALSE	15.920520060032231	13.82	15.97
t58	FALSE	15.892012882318859	13.82	15.97
t59	FALSE	26.706173172950862	23.03	27.82
t60	FALSE	21.91159979260659	20.44	23.03
t60	FALSE	18.49577491008849	15.97	20.44
t60	FALSE	15.147958028972674	13.82	15.97
t60	FALSE	11.310304403767375	7.25	11.63
t60	FALSE	8.930907836730242	7.25	11.63
t60	FALSE	5.196406057818841	3.6	5.33
t62	TRUE	4.733868176288894	3.6	5.33
t62	TRUE	3.8128477429822	3.6	5.33
t62	TRUE	3.0154121680622765	0	3.6
t62	TRUE	2.021819238035924	0	3.6
t64	TRUE	1.4620090160409518	0	3.6
t64	TRUE	0.5136810341740556	0	3.6
t64	TRUE	0.019039700671285686	0	3.6
t65	FALSE	7.413338383904147	7.25	11.63
t66	TRUE	8.556526775496899	7.25	11.63
t66	TRUE	1.341535284629046	0	3.6
t66	TRUE	0.18003432776588113	0	3.6
t67	FALSE	4.108586064356956	3.6	5.33
t67	FALSE	3.973076566870901	3.6	5.33
t68	TRUE	3.368623283747226	0	3.6
t70	TRUE	2.8110188403215304	0	3.6
t70	TRUE	2.2264616320889488	0	3.6
t70	TRUE	0.7378271227257329	0	3.6
t70	TRUE	0.7170280527587067	0	3.6
t70	TRUE	0.5290539767444571	0	3.6
t72	FALSE	2.4161788561682016	0	3.6
t74	TRUE	4.446448984505402	3.6	5.33
t74	TRUE	3.0574493902139324	0	3.6
t74	TRUE	1.3667835678218054	0	3.6
t74	TRUE	0.7056642523781775	0	3.6
t75	FALSE	29.087889551101956	27.82	33.9
t75	FALSE	28.706839835188124	27.82	33.9
t75	FALSE	24.111119706432753	23.03	27.82
t76	FALSE	13.628087567375907	11.63	13.82
t76	FALSE	12.133411260616171	11.63	13.82
t79	FALSE	15.961227454850544	13.82	15.97
t79	FALSE	14.901890663104226	13.82	15.97
t80	FALSE	23.320818848598922	23.03	27.82
t80	FALSE	23.21336369935755	23.03	27.82
t80	FALSE	22.871530609879237	20.44	23.03
t80	FALSE	22.106766153800827	20.44	23.03
t81	FALSE	21.720777085852344	20.44	23.03
t81	FALSE	21.080879468340893	20.44	23.03
t81	FALSE	19.716195087749977	15.97	20.44
t81	FALSE	19.052173968274612	15.97	20.44
t81	FALSE	18.681596897412557	15.97	20.44
t81	FALSE	17.27409014217749	15.97	20.44
t81	FALSE	15.410137982379915	13.82	15.97
t81	FALSE	13.062486962771516	11.63	13.82
t81	FALSE	12.88256792126306	11.63	13.82
t81	FALSE	11.595520886202237	7.25	11.63
