Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	root_age
10000.999999999973	10080.589784153339	10000.999999999998	10000.999999999962	10001.000000000064	10000.999999999947	10001.000000000004	10000.99999999997	10000.99999999997	10525.829145824251	10000.999999999982	10062.64766429011	10485.105794667941	10001.00000000002	10413.876644443653	10334.598466731859
9417.861208567154	9222.785050697674	10000.999999999984	10001.00000000001	10001.000000000027	10001.00000000002	10001.000000000002	10001.000000000005	10001.000000000018	10459.241196524104	10001.000000000011	10001.00000000003	9672.07260437009	10001.000000000047	10287.044324879404	9061.796274347715
10001.00000000002	10000.999999999987	10001.000000000015	10000.999999999985	10001.000000000031	10000.99999999998	10001.000000000005	10000.999999999989	10000.999999999975	10000.999999999984	10001.000000000005	10000.99999999999	10000.999999999998	10000.99999999998	10001.000000000002	10001.000000000013
10001.00000000001	10000.999999999956	9708.857400369992	10001.000000000005	9775.651915732828	9680.418687098767	9220.446430530274	10001.000000000013	10000.99999999998	10000.999999999973	10001.000000000044	9673.84723915036	10000.999999999985	10109.008117407455	9660.684552820838	10413.484366619561
10001.000000000045	10346.32147627664	10001.000000000016	9334.127092305765	10321.643620652387	10001.000000000033	9957.203312329024	10001.00000000002	10000.99999999998	10001.00000000003	10001.000000000053	10032.364670555058	10001.000000000038	10000.999999999982	10001.000000000025	10288.300034298474
10000.999999999978	10228.117408911023	10000.999999999984	10805.065739759153	10000.99999999998	9577.918340934808	10001.00000000003	10001.000000000013	10000.999999999985	10001	10000.999999999998	10001.000000000025	10000.999999999967	10001.000000000018	10001.000000000018	10001.000000000002
10001.000000000007	10433.826887278143	9685.733483810249	10001.000000000015	9659.477919012292	10001.000000000033	10849.905252514041	10000.999999999982	10001.000000000016	10000.999999999989	10000.999999999998	10001.000000000036	10000.999999999965	9683.108145470165	9569.047283673834	10000.99999999997
10461.74421225727	10000.999999999987	10001.000000000004	9625.223313664206	10000.99999999999	10001.000000000016	10170.896518255091	10001.000000000002	10001.000000000004	10001.000000000007	10001.00000000002	9655.629353071909	10001.000000000002	10000.99999999994	9753.76695832674	10000.999999999984
10001.000000000035	10001.000000000002	10001.000000000011	10001.000000000036	9657.33620865408	10310.486757992485	10000.999999999962	10302.080592326045	9625.425207573948	10001.000000000036	10000.999999999995	10001.000000000027	9533.037102238295	10000.999999999987	10000.999999999922	10000.999999999995
9630.805066385776	10000.999999999989	10000.999999999969	10000.999999999984	10000.999999999967	9662.614380491252	10001.00000000004	10000.999999999987	10000.999999999996	10001.000000000024	10001.00000000001	10001.000000000065	10001.000000000031	10000.999999999982	10001.000000000013	10000.999999999973
10000.999999999996	10000.999999999969	10001.000000000004	9632.69064200581	10001.000000000011	10001.000000000007	10000.999999999982	10001.000000000038	10484.731374128749	9632.834475967411	10000.999999999949	10000.99999999997	10000.999999999996	10000.999999999993	10001.000000000004	9702.083038661092
9685.55361866174	10000.999999999996	10797.991289432759	10001.000000000035	10705.472883311484	10001.000000000024	10001.000000000055	10001.000000000025	10000.999999999965	10001.000000000085	10504.199929148685	10001.000000000018	10000.99999999997	10001.00000000001	10001.00000000003	10000.999999999893
10001.000000000031	10001.000000000018	10001.000000000013	10000.999999999945	10001.000000000016	10878.317251770093	9707.305745920456	10001.000000000018	10001.000000000002	10649.75727999884	10001.000000000042	10000.999999999973	10001.000000000018	10000.999999999965	9628.098586765882	10001.000000000002
10000.999999999989	8194.899571610737	10000.999999999998	10000.999999999984	10000.999999999982	10000.999999999964	10000.999999999976	10001.000000000016	10000.999999999998	9160.80373537298	9991.351615149533	10001.000000000015	10000.999999999975	10000.999999999989	10000.999999999978	10001.000000000104
10000.999999999993	10000.999999999975	9703.264054810747	10000.999999999995	10001.000000000007	10001.00000000002	10001.000000000035	9663.68091895631	9540.30557161803	9666.830811214239	10000.999999999969	10000.99999999997	10001.000000000018	8522.977090923874	10001.000000000018	10296.553608857703
10000.999999999996	10001.000000000013	10001.000000000055	9291.415677495621	10001.000000000015	10001.000000000056	10000.999999999996	10765.4759990538	10000.99999999997	10001.00000000002	10000.999999999975	9700.824196488584	10001.000000000013	10001.000000000071	10001.000000000007	10001.000000000024
11087.074862766258	10001.000000000005	10702.691496309539	10000.999999999962	11016.42833044692	10000.999999999987	10000.999999999996	9747.870907314247	10000.999999999989	10000.999999999969	10001.000000000004	9518.45527752294	10000.99999999999	10001.00000000003	10000.999999999995	10001.000000000025
10140.147290618936	9731.005091682504	10001.000000000004	10000.999999999982	10000.99999999998	10001.000000000038	9780.336485849326	10000.999999999944	10001.000000000007	10000.999999999984	10001.000000000024	10000.999999999996	10001.000000000016	10001	10794.066976940318	10001.00000000003
10000.999999999964	10000.999999999936	10000.99999999998	10000.999999999947	10001.000000000011	10001.000000000011	11609.867299227248	10000.999999999987	10000.999999999947	10001.000000000018	10000.99999999997	10000.999999999962	10000.999999999993	10001.000000000002	10001.000000000002	10000.999999999993
9911.880269399517	10000.99999999994	10001.000000000013	10000.999999999973	10001.000000000002	10000.99999999999	9333.910397486667	10001.000000000007	10000.99999999997	10000.999999999998	10000.999999999973	10000.999999999947	10001.000000000076	10001.00000000004	10000.999999999962	10001
11162.549460350683	9458.294519799027	10001.000000000027	10001.000000000022	10001.000000000042	10000.999999999987	10001.000000000013	10000.999999999996	10000.999999999989	10000.999999999985	10000.999999999947	10001.00000000002	10000.999999999996	10001.000000000064	9660.252192478802	9599.782495474792
10001	10001.000000000044	10000.99999999993	10000.99999999999	10000.999999999965	10463.391283841389	10001.000000000035	10000.999999999962	10000.999999999985	9854.21254935931	10000.999999999967	10000.99999999999	10000.999999999982	10000.999999999985	10001.000000000045	10001.000000000025
10000.999999999998	10000.999999999967	10000.999999999975	10000.999999999989	10277.232848487729	10000.999999999964	10982.695146367343	10000.99999999999	10001.000000000024	10000.999999999942	10000.99999999997	10001.000000000024	10000.999999999978	10000.999999999989	9329.78799012427	10299.219495647914
9520.182897316332	9677.492017151251	10001.000000000062	10292.108543881055	10001.000000000007	10001.000000000056	9582.702523770891	11004.993846459953	10000.999999999995	10000.999999999996	10000.999999999984	10000.999999999993	10000.999999999973	10000.999999999976	10024.568746687415	10001.00000000002
10000.999999999962	10001.000000000018	10000.99999999999	10001.000000000005	10001.000000000033	10000.999999999985	10000.999999999973	10003.52573499946	10001.000000000056	10001.000000000067	10001.000000000011	7975.5389498555915	10000.999999999953	10000.999999999985	10001.000000000033	10303.905436639889
7792.15063576148	10000.999999999985	9639.91929945961	10001.000000000022	10001.000000000025	10000.999999999987	9319.50042298688	10000.999999999985	10000.99999999997	10001.000000000016	10000.999999999993	10001.00000000001	10000.999999999973	10001.000000000024	9754.698785633038	10089.50115776662
10001.000000000018	10183.920039230943	10000.999999999984	10000.999999999998	9821.610416974669	10000.999999999985	10001.000000000025	10001.000000000036	10289.64631841022	9709.291550988597	10001.000000000033	10000.99999999998	10288.884233476792	10001.000000000036	10000.999999999996	10001.000000000002
10358.868747138124	10318.021880450147	10001.000000000051	10001.000000000004	10000.999999999973	10000.999999999987	10000.999999999998	10001.000000000024	10000.999999999976	10001.000000000018	10000.999999999978	10001.000000000031	10001.000000000022	10001.000000000004	9637.556071699311	10000.999999999942
10001.000000000013	10001.000000000025	10000.999999999982	10000.999999999975	10000.999999999956	10001.000000000011	10557.262873527625	10351.141981155692	10308.74448099125	10001.000000000033	9688.652314615603	9692.56505054125	10000.99999999998	9708.205151541168	10001.000000000064	10000.999999999998
10000.999999999969	10000.999999999985	10001.000000000004	10000.999999999996	10001	9703.47117451699	10000.999999999973	10876.03138904748	10001.000000000065	10001.000000000016	10001.000000000007	10000.999999999969	10000.999999999995	10000.999999999969	10001.000000000013	10000.99999999999
10000.999999999998	10001.000000000058	10000.999999999987	10877.28181134553	9691.317236570725	10302.595507871996	10000.999999999987	10000.999999999982	10000.999999999976	10001.000000000013	10001.000000000024	10325.236201514705	10001.000000000005	10001.00000000003	10000.999999999989	10001.000000000047
10000.999999999987	10001.00000000002	10004.251022728979	10752.93947662435	9755.753993264552	10000.999999999967	10353.167081990827	10001.000000000044	10001.000000000042	10001.000000000004	10836.084714732953	10001.00000000003	10000.999999999989	10001.000000000004	10000.999999999998	9593.804896435802
9710.289035335514	10001.000000000022	10000.999999999993	9649.66970396812	10001.000000000002	10001.00000000001	10001.000000000002	10000.999999999964	9175.301208819352	10666.017530522642	10001.00000000001	10001.000000000027	10001.000000000027	10000.999999999969	10001.000000000013	10000.999999999962
10000.999999999987	10001.000000000027	10001.000000000025	10000.999999999944	10000.999999999973	10421.148931121947	11702.877420364179	10510.74198918195	10001.000000000035	10394.089582283561	11054.497112074241	10000.999999999978	10000.999999999989	10000.999999999969	10000.999999999984	9697.883950563872
9675.337999167301	10000.999999999995	10001.000000000033	11257.302735972362	10001.000000000022	10000.999999999949	10000.999999999995	10000.99999999999	10001.000000000024	10001.000000000044	10001.00000000002	10649.86775785765	10001.000000000004	9603.640421055303	10001.000000000018	9136.945060872531
10000.999999999975	10377.274974700591	10001.000000000011	10312.966990200279	10001.000000000013	10000.99999999996	10001.000000000005	10365.678045505678	10001.000000000036	10000.999999999973	11060.691945078437	10000.999999999998	10001.000000000018	10001.00000000003	10001.000000000045	10000.999999999956
10001.000000000018	10001.000000000024	10000.99999999999	10000.99999999995	9997.272788199909	10001.000000000011	10697.678002166633	10000.99999999996	10000.999999999938	9606.16619962261	10509.93958406834	10001.000000000031	10000.999999999956	10001.000000000016	10001.000000000022	10000.999999999973
10001.000000000005	10001.000000000007	10327.428632252251	10000.999999999982	10001.000000000013	10001.000000000018	10001.000000000022	10001.000000000031	10000.999999999996	10001.000000000058	10001.000000000016	10001	9780.05566017253	10000.99999999997	10000.999999999987	10001.000000000025
9266.10574737675	9626.675783068365	10001.000000000022	10001.000000000015	10000.999999999978	10301.57261116552	10767.35979757751	10000.999999999976	10001.000000000067	10361.899144728266	9975.758678809882	10522.158835295446	10001.000000000047	10000.999999999985	10001.00000000004	10001.000000000085
10001.000000000031	10000.999999999995	10001.000000000011	10001.000000000018	10000.999999999967	10000.999999999953	10001.000000000002	10000.999999999958	10001.000000000022	10001.000000000056	10000.999999999993	10000.999999999995	10000.999999999973	10001.000000000002	10001.000000000002	10000.999999999953
9606.838865897678	10001.000000000002	10001.000000000038	10000.999999999998	10001.00000000002	10001.00000000004	10000.999999999969	10000.999999999998	10000.999999999938	9602.10830409707	10000.999999999973	10000.999999999978	10000.999999999987	9665.12844821797	10001.000000000018	9532.205352156318
10355.642253840975	10007.660795864973	10001.000000000004	10947.211883205744	10000.99999999995	9652.371183653935	10000.999999999989	10000.999999999987	10000.999999999936	10000.999999999973	10001.000000000011	10001.000000000033	10001.000000000025	10000.999999999925	10000.99999999999	10325.36317602745
10001.000000000011	10000.999999999984	10000.999999999975	10001.000000000011	9762.607315099634	10473.345345729733	10000.999999999964	10001.000000000004	10000.999999999958	10616.208112183956	10001.000000000013	10000.99999999995	10001.000000000011	10001.000000000031	10001.000000000002	10001.000000000051
10001.000000000044	10001.000000000022	9704.141601396886	10000.999999999973	10001.000000000027	10001.000000000031	10001.000000000004	8805.215112430718	9676.19146203056	10001.000000000013	10001.000000000022	10001.00000000003	10000.99999999997	10000.999999999925	10000.999999999989	10001.000000000005
10001.00000000001	10001	10001.000000000015	10000.999999999993	10000.99999999998	10001.000000000035	10000.999999999987	10000.999999999996	10000.999999999965	10001.000000000044	10000.999999999925	10001.000000000035	10001.000000000033	10000.999999999978	10000.999999999978	10000.999999999965
10000.999999999982	10000.999999999964	10000.999999999984	10298.969617730532	10530.140699522002	10000.99999999997	10001.000000000005	10321.273641096794	9682.453807318534	9249.642624450633	9922.437077655195	10001.000000000013	10439.957257606251	10001.000000000013	9656.729799828629	9807.006226503696
10001.000000000038	10001.000000000036	10001.000000000018	9002.058811313898	10628.51985240229	11040.783346509173	10000.999999999944	10000.999999999987	9688.843193964338	10001.00000000002	10391.557148447162	10000.999999999964	10001.000000000004	10000.999999999996	10000.999999999962	9506.793031622981
10001.000000000042	10001.000000000035	8467.426132344086	10000.999999999987	10000.999999999975	10001	10000.999999999996	10000.999999999985	11709.787306668944	10001.000000000007	10000.999999999982	10056.966271837115	10000.999999999978	10001.000000000031	10332.53808592359	10001.00000000006
10000.999999999982	10000.999999999987	10001.00000000002	10001.00000000002	10001.000000000011	10001.000000000007	10000.999999999956	8510.10291069869	10640.19336880808	9766.426205087088	9707.673240232112	10000.999999999995	10001.000000000002	9128.628747934798	10000.999999999953	10358.892947778748
10658.853980680366	10577.506174440825	10001.000000000044	10000.999999999985	10000.99999999998	10001.000000000007	10001.000000000013	9917.69148275986	10000.999999999955	10617.980409787344	10000.999999999975	10000.999999999978	10000.999999999985	10001.000000000073	10001	10000.999999999944
10000.999999999956	10001.00000000001	10001.000000000031	10573.6781068438	10001.000000000042	10001.000000000053	10000.999999999953	10208.432836206905	10000.999999999962	10001.000000000024	10000.999999999984	10000.999999999973	10000.999999999947	10001.000000000075	10001.00000000001	10000.999999999953
10317.812695293824	9615.839133965814	9950.35833004191	9318.46249304896	9586.880985494196	10000.486978067194	9152.704508547899	10001.000000000018	10325.100692085054	10000.999999999955	9224.1020624859	9623.852477322627	10323.230675670851	9696.248143398247	10000.999999999984	9378.439542808168
10001.000000000033	10001.000000000055	10000.999999999993	10001.000000000036	10001.000000000031	10000.999999999987	9622.974416460684	10000.999999999989	10000.99999999997	10107.656973186788	10001.000000000004	10000.999999999995	10001.000000000013	10345.828935893634	10000.999999999989	10001.000000000047
10001.000000000004	10001.000000000011	10001.000000000004	10001.000000000015	10001.000000000015	10572.287656615248	10001.00000000001	10001.000000000015	10356.72826809234	10000.99999999999	10001.000000000016	10001.000000000004	10001	10001.000000000015	10491.019063088777	10001.000000000073
10001.000000000007	10001.000000000013	10001.000000000002	10001.00000000001	9216.74655664216	8827.44073010354	10001.000000000007	10001.000000000002	10000.999999999982	10001.000000000038	10339.539861231055	10000.999999999998	9687.641307957398	10000.999999999956	10000.999999999995	10001.000000000033
10001.000000000015	10001.000000000005	11104.92044746587	9236.774713144314	10001.00000000001	10000.999999999964	10000.999999999965	9676.967403124963	10000.999999999975	10000.999999999989	10000.99999999999	10001.00000000002	10001.000000000031	10001.000000000044	10000.999999999984	10001.00000000002
10000.999999999965	10000.999999999929	10001.000000000007	10001.000000000022	10351.829064887781	10001.000000000018	10446.952597590793	10001.000000000011	10000.99999999998	10000.999999999967	10000.999999999969	10370.947906510257	10001.000000000007	10000.999999999976	10359.12599499349	10001.000000000013
10000.999999999975	10314.005062549344	10001.000000000035	10000.999999999976	10613.011898641782	10000.999999999985	10001.000000000018	10001.000000000045	10434.579866321943	10001.000000000035	10000.999999999969	10001.000000000025	10331.449806909937	10001.00000000001	10681.528834338253	10000.99999999999
10000.999999999958	10001.00000000004	10000.999999999913	10421.21939610264	10001.00000000004	9633.611319347501	10000.99999999997	10714.987251442688	10000.999999999956	9845.966934485634	10000.999999999985	10000.999999999989	10001.000000000042	9458.534020499515	10001.000000000018	9773.223211592916
11370.071931984749	10000.99999999998	10001.000000000007	10246.341384330675	10000.999999999998	10000.999999999969	10000.999999999975	10001.000000000002	10001.000000000002	10000.999999999976	10000.999999999985	10000.999999999975	10329.789354939101	10001.000000000018	10000.999999999956	10000.999999999953
10001.000000000036	10297.318649631887	10001	10001.00000000001	10416.342138092028	10000.999999999976	10001.00000000002	10000.999999999976	10000.999999999944	10001.000000000016	10000.999999999984	9642.10216000941	10001.000000000004	10001.000000000027	10300.158823194355	10700.34425114694
10000.999999999995	10001.000000000056	10001.00000000003	10001.00000000002	10000.999999999982	10000.99999999996	10001.000000000024	9700.565823522735	10001.000000000011	10001.000000000024	10001.000000000064	9677.633959302771	10000.999999999996	10001.000000000027	10010.792039757509	11073.599618457496
10000.999999999987	10001.00000000001	10001.000000000002	10001.000000000084	10586.95623777351	9326.298465224754	10000.999999999964	10001.000000000022	10001.000000000004	10303.927204277672	10001.00000000002	10001.000000000015	8801.777589999781	10000.999999999962	10001.00000000005	10001.000000000007
9649.418512673805	9676.028858809674	10001.000000000025	10000.999999999978	8933.50851941663	10001.000000000065	10313.79470479804	9458.009408499676	8974.745063114606	10001.000000000004	9688.813930918055	10000.999999999976	10001.000000000018	10001.000000000087	10001.00000000003	10000.999999999995
10932.921766431617	10326.729970025663	10714.673465450614	10001.000000000038	10001.000000000027	10000.999999999975	10000.999999999967	10001.000000000011	10364.838872818327	11345.00907043896	10000.999999999964	10001.000000000056	10001.000000000007	10001.000000000015	10634.688753637509	10000.99999999997
10000.999999999982	9592.927369510628	10001.000000000011	8752.560987875448	10000.999999999982	10312.548348168237	10001.00000000002	10001.00000000008	10000.999999999975	10000.999999999982	10001.000000000056	10000.999999999987	8711.498895516503	10317.973726222295	9280.456314309557	10001.000000000004
10001.000000000038	10001.000000000005	10000.999999999984	8793.03153899136	10001.000000000022	10001.000000000027	10000.999999999984	9555.41362895986	9596.984186885791	10001.000000000004	10001.000000000011	9385.045677673748	10000.999999999942	9421.289538511199	9203.43976525546	10001.000000000035
10000.999999999969	10001.000000000013	10001.000000000024	10000.99999999996	10000.999999999982	10000.999999999976	10001.000000000011	10054.942395118433	10000.999999999993	10000.999999999998	10001.000000000027	10098.723782735531	10001.000000000027	10001.000000000035	9678.626300977587	10001.000000000031
10000.99999999998	10000.999999999964	8955.979788012486	10001.000000000036	10001.000000000024	10000.999999999969	10001.000000000035	10000.999999999976	10000.99999999994	10001.00000000001	10264.524046406981	10000.999999999965	10001.000000000051	10001.000000000011	10000.999999999982	10000.999999999985
10000.999999999989	9768.266007734976	10001.000000000011	10000.99999999999	10001.000000000036	10001.000000000027	9347.634763703776	10001.000000000018	10001.000000000031	10000.999999999947	10001.000000000013	10001.000000000018	9671.72735602899	10000.999999999996	10000.999999999995	9557.088229002302
10000.999999999987	10001.000000000002	10273.940035750118	10001.000000000016	10000.999999999967	10001.000000000038	10000.999999999995	9243.350558853497	9360.028807802682	10000.99999999999	10461.936149389277	10001.000000000033	10000.999999999995	10000.999999999965	10000.999999999975	10000.99999999999
10001.000000000027	10000.999999999985	10001.000000000007	10001.000000000002	9958.122693277302	10354.275220855918	10001.00000000003	10001.000000000011	10000.999999999969	10001.000000000011	10001.000000000022	10001.000000000025	10556.767412937234	10001.000000000024	10000.99999999997	10001.000000000058
